id	or	p	ens.ids	gene.names
Canonical_pathway:reactome_raf_map_kinase_cascade	351.96	0.00362355966376637	ENSG00000126934	MAP2K2
Canonical_pathway:biocarta_cdk5_pathway	316.27	0.00398529583318885	ENSG00000126934	MAP2K2
GO_bp:go_positive_regulation_of_protein_sumoylation	316.27	0.00398529583318885	ENSG00000105229	PIAS4
Canonical_pathway:biocarta_barr_mapk_pathway	288.32	0.00434691942906884	ENSG00000126934	MAP2K2
GO_bp:go_regulation_of_golgi_organization	288.32	0.00434691942906884	ENSG00000126934	MAP2K2
GO_bp:go_trachea_morphogenesis	288.32	0.00434691942906884	ENSG00000126934	MAP2K2
GO_mf:go_map_kinase_kinase_activity	288.32	0.00434691942906884	ENSG00000126934	MAP2K2
Canonical_pathway:reactome_sos_mediated_signalling	244.77	0.00506982901713848	ENSG00000126934	MAP2K2
Canonical_pathway:biocarta_barrestin_src_pathway	227.29	0.00543111506778171	ENSG00000126934	MAP2K2
Canonical_pathway:reactome_signalling_to_p38_via_rit_and_rin	227.29	0.00543111506778171	ENSG00000126934	MAP2K2
Canonical_pathway:reactome_shc1_events_in_egfr_signaling	227.29	0.00543111506778171	ENSG00000126934	MAP2K2
Canonical_pathway:reactome_shc_mediated_signalling	227.29	0.00543111506778171	ENSG00000126934	MAP2K2
GO_bp:go_negative_regulation_of_tumor_necrosis_factor_mediated_signaling_pathway	227.29	0.00543111506778171	ENSG00000105229	PIAS4
GO_bp:go_nad_biosynthetic_process	227.29	0.00543111506778171	ENSG00000077009	NMRK2
GO_mf:go_sumo_transferase_activity	227.29	0.00543111506778171	ENSG00000105229	PIAS4
Canonical_pathway:kegg_pathways_in_cancer	23.61	0.00555177034634807	ENSG00000105229;ENSG00000126934	PIAS4;MAP2K2
Canonical_pathway:biocarta_bcellsurvival_pathway	211.19	0.0057922886616355	ENSG00000178951	ZBTB7A
GO_bp:go_regulation_of_early_endosome_to_late_endosome_transport	211.19	0.0057922886616355	ENSG00000126934	MAP2K2
Canonical_pathway:biocarta_hcmv_pathway	197.98	0.00615334982791105	ENSG00000126934	MAP2K2
Canonical_pathway:sa_trka_receptor	197.98	0.00615334982791105	ENSG00000126934	MAP2K2
Canonical_pathway:pid_smad2_3pathway	197.98	0.00615334982791105	ENSG00000105229	PIAS4
Canonical_pathway:pid_anthrax_pathway	197.98	0.00615334982791105	ENSG00000126934	MAP2K2
Canonical_pathway:reactome_arms_mediated_activation	197.98	0.00615334982791105	ENSG00000126934	MAP2K2
Canonical_pathway:reactome_shc_related_events	197.98	0.00615334982791105	ENSG00000126934	MAP2K2
GO_bp:go_pyridine_nucleotide_biosynthetic_process	187.91	0.00651429859566266	ENSG00000077009	NMRK2
Canonical_pathway:biocarta_mal_pathway	177.16	0.00687513499423997	ENSG00000126934	MAP2K2
Canonical_pathway:reactome_prolonged_erk_activation_events	177.16	0.00687513499423997	ENSG00000126934	MAP2K2
GO_mf:go_protein_serine_threonine_kinase_activator_activity	177.16	0.00687513499423997	ENSG00000126934	MAP2K2
Canonical_pathway:reactome_shc1_events_in_erbb4_signaling	167.8	0.00723585905268509	ENSG00000126934	MAP2K2
