id	or	p	ens.ids	gene.names
GO_cc:go_cell_substrate_junction	20.64	0.000918577503997748	ENSG00000137343;ENSG00000137337;ENSG00000137312	ATAT1;MDC1;FLOT1
GO_cc:go_anchoring_junction	16.67	0.00167103840187283	ENSG00000137343;ENSG00000137337;ENSG00000137312	ATAT1;MDC1;FLOT1
GO_cc:go_cell_junction	10.63	0.00192300500810636	ENSG00000204568;ENSG00000137343;ENSG00000137337;ENSG00000137312	MRPS18B;ATAT1;MDC1;FLOT1
GO_cc:go_ribonucleoprotein_complex	11.39	0.00475372348139753	ENSG00000204568;ENSG00000204560;ENSG00000196230	MRPS18B;DHX16;TUBB
GO_bp:go_regulation_of_nlrp3_inflammasome_complex_assembly	212.26	0.00568885539414143	ENSG00000137343	ATAT1
GO_bp:go_regulation_of_cell_cell_adhesion_mediated_by_cadherin	212.26	0.00568885539414143	ENSG00000137312	FLOT1
GO_bp:go_intra_s_dna_damage_checkpoint	192.27	0.00620457694218945	ENSG00000137337	MDC1
GO_bp:go_cellular_response_to_exogenous_dsrna	192.27	0.00620457694218945	ENSG00000137312	FLOT1
GO_cc:go_cell_trailing_edge	192.27	0.00620457694218945	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_microtubule_based_process	19.9	0.00654692336135895	ENSG00000137343;ENSG00000196230	ATAT1;TUBB
GO_mf:go_gtpase_activating_protein_binding	163.56	0.00723529787656096	ENSG00000196230	TUBB
GO_bp:go_dentate_gyrus_development	151.36	0.00775029746257883	ENSG00000137343	ATAT1
Canonical_pathway:reactome_homologous_recombination_repair_of_replication_independent_double_strand_breaks	142.1	0.00826505659446519	ENSG00000137337	MDC1
GO_bp:go_protein_kinase_c_signaling	142.1	0.00826505659446519	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_toll_like_receptor_4_signaling_pathway	132.65	0.0087795753718195	ENSG00000137312	FLOT1
GO_bp:go_membrane_raft_organization	132.65	0.0087795753718195	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_synaptic_transmission_dopaminergic	132.65	0.0087795753718195	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_heterotypic_cell_cell_adhesion	125.22	0.00929385389451687	ENSG00000137312	FLOT1
GO_mf:go_mhc_class_i_protein_binding	125.22	0.00929385389451687	ENSG00000196230	TUBB
GO_bp:go_positive_regulation_of_toll_like_receptor_signaling_pathway	118.3	0.00980789226229484	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_myoblast_fusion	118.3	0.00980789226229484	ENSG00000137312	FLOT1
GO_bp:go_peptidyl_lysine_modification	15.76	0.0101813480410041	ENSG00000137343;ENSG00000137337	ATAT1;MDC1
Canonical_pathway:reactome_double_strand_break_repair	101.35	0.0113485674322855	ENSG00000137337	MDC1
GO_mf:go_ionotropic_glutamate_receptor_binding	96.77	0.0118616461766977	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_cell_junction_assembly	92.59	0.0123744852642182	ENSG00000137312	FLOT1
GO_cc:go_organellar_small_ribosomal_subunit	92.59	0.0123744852642182	ENSG00000204568	MRPS18B
GO_bp:go_membrane_assembly	88.64	0.0128870847943654	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_syncytium_formation_by_plasma_membrane_fusion	88.64	0.0128870847943654	ENSG00000137312	FLOT1
GO_cc:go_centriolar_satellite	88.64	0.0128870847943654	ENSG00000137312	FLOT1
