id	or	p	ens.ids	gene.names
Canonical_pathway:kegg_insulin_signaling_pathway	47.53	0.0013435816776428	ENSG00000076555;ENSG00000151247	ACACB;EIF4E
GO_bp:go_cellular_amide_metabolic_process	15.87	0.00237156306990905	ENSG00000130764;ENSG00000076555;ENSG00000151247	LRRC47;ACACB;EIF4E
GO_bp:go_organonitrogen_compound_metabolic_process	9.95	0.00361597037998842	ENSG00000130764;ENSG00000076248;ENSG00000076555;ENSG00000151247	LRRC47;UNG;ACACB;EIF4E
Canonical_pathway:biocarta_sars_pathway	301.88	0.00414024522711987	ENSG00000151247	EIF4E
GO_bp:go_coenzyme_a_biosynthetic_process	301.88	0.00414024522711987	ENSG00000076555	ACACB
Canonical_pathway:reactome_mtorc1_mediated_signalling	271.43	0.00455344361090371	ENSG00000151247	EIF4E
GO_cc:go_rnai_effector_complex	271.43	0.00455344361090371	ENSG00000151247	EIF4E
GO_bp:go_pyrimidine_nucleotide_catabolic_process	248.68	0.00496649197453902	ENSG00000076248	UNG
GO_cc:go_chromatoid_body	248.68	0.00496649197453902	ENSG00000151247	EIF4E
GO_bp:go_amino_acid_betaine_transport	227.27	0.00537939036469715	ENSG00000076555	ACACB
GO_bp:go_biotin_metabolic_process	227.27	0.00537939036469715	ENSG00000076555	ACACB
GO_bp:go_energy_homeostasis	227.27	0.00537939036469715	ENSG00000076555	ACACB
GO_bp:go_somatic_diversification_of_immune_receptors_via_somatic_mutation	227.27	0.00537939036469715	ENSG00000076248	UNG
GO_bp:go_peptidyl_methionine_modification	227.27	0.00537939036469715	ENSG00000164024	METAP1
GO_cc:go_rna_cap_binding_complex	227.27	0.00537939036469715	ENSG00000151247	EIF4E
GO_mf:go_rna_cap_binding	227.27	0.00537939036469715	ENSG00000151247	EIF4E
GO_mf:go_dna_n_glycosylase_activity	194.06	0.00620473741134331	ENSG00000076248	UNG
GO_bp:go_hemostasis	21.36	0.00626229039721135	ENSG00000140093;ENSG00000164024	SERPINA10;METAP1
GO_bp:go_organonitrogen_compound_biosynthetic_process	10.92	0.00651608427350197	ENSG00000130764;ENSG00000076555;ENSG00000151247	LRRC47;ACACB;EIF4E
Canonical_pathway:biocarta_eif_pathway	182.53	0.00661718616111329	ENSG00000151247	EIF4E
GO_bp:go_coenzyme_a_metabolic_process	182.53	0.00661718616111329	ENSG00000076555	ACACB
GO_bp:go_pyrimidine_deoxyribonucleotide_metabolic_process	182.53	0.00661718616111329	ENSG00000076248	UNG
GO_bp:go_nucleoside_bisphosphate_biosynthetic_process	182.53	0.00661718616111329	ENSG00000076555	ACACB
GO_bp:go_regulation_of_fatty_acid_beta_oxidation	182.53	0.00661718616111329	ENSG00000076555	ACACB
GO_bp:go_quaternary_ammonium_group_transport	170.84	0.00702948512410595	ENSG00000076555	ACACB
GO_bp:go_regulation_of_acrosome_reaction	170.84	0.00702948512410595	ENSG00000140093	SERPINA10
Canonical_pathway:reactome_activated_ampk_stimulates_fatty_acid_oxidation_in_muscle	161.16	0.00744163434679812	ENSG00000076555	ACACB
GO_bp:go_positive_regulation_of_dna_recombination	161.16	0.00744163434679812	ENSG00000076248	UNG
Canonical_pathway:reactome_deadenylation_of_mrna	151.73	0.00785363387592275	ENSG00000151247	EIF4E
GO_bp:go_intracellular_lipid_transport	151.73	0.00785363387592275	ENSG00000076555	ACACB
Canonical_pathway:biocarta_igf1mtor_pathway	143.92	0.00826548375806635	ENSG00000151247	EIF4E
GO_bp:go_deoxyribose_phosphate_catabolic_process	143.92	0.00826548375806635	ENSG00000076248	UNG
GO_bp:go_positive_regulation_of_lipid_storage	143.92	0.00826548375806635	ENSG00000076555	ACACB
GO_bp:go_regulation_of_cellular_amide_metabolic_process	18.29	0.00840881829127636	ENSG00000151247;ENSG00000164024	EIF4E;METAP1
GO_bp:go_negative_regulation_of_lipid_catabolic_process	136.43	0.00867718403993556	ENSG00000076555	ACACB
GO_bp:go_somatic_recombination_of_immunoglobulin_gene_segments	136.43	0.00867718403993556	ENSG00000076248	UNG
Canonical_pathway:biocarta_mtor_pathway	124.41	0.00950013598855814	ENSG00000151247	EIF4E
GO_bp:go_ammonium_transmembrane_transport	124.41	0.00950013598855814	ENSG00000076555	ACACB
GO_mf:go_hydrolase_activity_hydrolyzing_n_glycosyl_compounds	124.41	0.00950013598855814	ENSG00000076248	UNG
Canonical_pathway:biocarta_eif4_pathway	119.03	0.00991138774853206	ENSG00000151247	EIF4E
