id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_peptidyl_tyrosine_phosphorylation	30.67	0.00313337011445174	ENSG00000068078;ENSG00000159733	FGFR3;ZFYVE28
Canonical_pathway:reactome_signaling_by_fgfr3_mutants	271.43	0.00455344361090371	ENSG00000068078	FGFR3
GO_bp:go_positive_regulation_of_tyrosine_phosphorylation_of_stat1_protein	271.43	0.00455344361090371	ENSG00000068078	FGFR3
GO_bp:go_cristae_formation	271.43	0.00455344361090371	ENSG00000168924	LETM1
GO_mf:go_5_3_exonuclease_activity	248.68	0.00496649197453902	ENSG00000130997	POLN
GO_bp:go_bone_maturation	208.99	0.00579213882817153	ENSG00000068078	FGFR3
GO_bp:go_regulation_of_tyrosine_phosphorylation_of_stat1_protein	182.53	0.00661718616111329	ENSG00000068078	FGFR3
GO_bp:go_inner_mitochondrial_membrane_organization	170.84	0.00702948512410595	ENSG00000168924	LETM1
GO_bp:go_organ_maturation	161.16	0.00744163434679812	ENSG00000068078	FGFR3
GO_bp:go_negative_regulation_of_protein_tyrosine_kinase_activity	151.73	0.00785363387592275	ENSG00000159733	ZFYVE28
GO_mf:go_cyclin_binding	151.73	0.00785363387592275	ENSG00000130997	POLN
GO_bp:go_bone_growth	143.92	0.00826548375806635	ENSG00000068078	FGFR3
GO_cc:go_rough_endoplasmic_reticulum_membrane	136.43	0.00867718403993556	ENSG00000185818	NAT8L
Canonical_pathway:reactome_fgfr_ligand_binding_and_activation	130.47	0.00908873476782712	ENSG00000068078	FGFR3
GO_bp:go_regulation_of_epidermal_growth_factor_activated_receptor_activity	130.47	0.00908873476782712	ENSG00000159733	ZFYVE28
GO_mf:go_fibroblast_growth_factor_binding	124.41	0.00950013598855814	ENSG00000068078	FGFR3
GO_bp:go_replacement_ossification	114.1	0.0103224900944091	ENSG00000068078	FGFR3
GO_mf:go_dna_directed_dna_polymerase_activity	105.23	0.0111442467299111	ENSG00000130997	POLN
Canonical_pathway:reactome_shc_mediated_cascade	101.35	0.0115549011125279	ENSG00000068078	FGFR3
GO_bp:go_negative_regulation_of_receptor_activity	97.76	0.0119654062670294	ENSG00000159733	ZFYVE28
GO_mf:go_phosphatidylinositol_3_phosphate_binding	91.09	0.012785969077665	ENSG00000159733	ZFYVE28
GO_bp:go_positive_regulation_of_lipid_kinase_activity	88.5	0.0131960268266922	ENSG00000068078	FGFR3
GO_mf:go_dna_polymerase_activity	83.05	0.0140156952445776	ENSG00000130997	POLN
Canonical_pathway:reactome_negative_regulation_of_fgfr_signaling	78.36	0.0148347678650813	ENSG00000068078	FGFR3
Canonical_pathway:reactome_frs2_mediated_cascade	78.36	0.0148347678650813	ENSG00000068078	FGFR3
GO_bp:go_positive_regulation_of_tyrosine_phosphorylation_of_stat3_protein	76.02	0.0152440808673047	ENSG00000068078	FGFR3
GO_bp:go_negative_regulation_of_peptidyl_tyrosine_phosphorylation	74.06	0.0156532450592936	ENSG00000159733	ZFYVE28
GO_bp:go_bone_mineralization	74.06	0.0156532450592936	ENSG00000068078	FGFR3
GO_bp:go_regulation_of_phosphatidylinositol_3_kinase_activity	72.11	0.0160622604875353	ENSG00000068078	FGFR3
GO_bp:go_anatomical_structure_maturation	72.11	0.0160622604875353	ENSG00000068078	FGFR3
Canonical_pathway:pid_erbb1_internalization_pathway	68.64	0.0168798452380101	ENSG00000159733	ZFYVE28
GO_bp:go_translesion_synthesis	68.64	0.0168798452380101	ENSG00000130997	POLN
Canonical_pathway:kegg_bladder_cancer	66.85	0.0172884146530248	ENSG00000068078	FGFR3
GO_bp:go_positive_regulation_of_phospholipid_metabolic_process	66.85	0.0172884146530248	ENSG00000068078	FGFR3
Canonical_pathway:reactome_signaling_by_fgfr_mutants	65.26	0.0176968354894641	ENSG00000068078	FGFR3
GO_bp:go_negative_regulation_of_erbb_signaling_pathway	65.26	0.0176968354894641	ENSG00000159733	ZFYVE28
GO_bp:go_interstrand_cross_link_repair	63.75	0.0181051077940163	ENSG00000130997	POLN
GO_bp:go_regulation_of_tyrosine_phosphorylation_of_stat3_protein	63.75	0.0181051077940163	ENSG00000068078	FGFR3
GO_bp:go_endochondral_bone_morphogenesis	63.75	0.0181051077940163	ENSG00000068078	FGFR3
GO_bp:go_regulation_of_lipid_kinase_activity	59.6	0.0193290339776814	ENSG00000068078	FGFR3
GO_mf:go_ribosome_binding	58.33	0.0197367126166115	ENSG00000168924	LETM1
