id	or	p	ens.ids	gene.names
Canonical_pathway:reactome_negative_regulation_of_the_pi3k_akt_network	351.96	0.00362355966385097	ENSG00000117020	AKT3
Canonical_pathway:reactome_downregulation_of_erbb2_erbb3_signaling	212.26	0.00568885539414143	ENSG00000117020	AKT3
GO_bp:go_regulation_of_mitochondrial_translation	212.26	0.00568885539414143	ENSG00000137288	UQCC2
GO_mf:go_inositol_trisphosphate_kinase_activity	212.26	0.00568885539414143	ENSG00000161896	IP6K3
Canonical_pathway:reactome_akt_phosphorylates_targets_in_the_cytosol	192.27	0.00620457694218945	ENSG00000117020	AKT3
GO_bp:go_regulation_of_oxidative_phosphorylation	142.1	0.00826505659446519	ENSG00000137288	UQCC2
Canonical_pathway:sa_pten_pathway	132.65	0.0087795753718195	ENSG00000117020	AKT3
Canonical_pathway:sa_trka_receptor	132.65	0.0087795753718195	ENSG00000117020	AKT3
GO_bp:go_regulation_of_skeletal_muscle_cell_differentiation	132.65	0.0087795753718195	ENSG00000137288	UQCC2
Canonical_pathway:reactome_regulation_of_gene_expression_in_beta_cells	112.12	0.0103216905747459	ENSG00000117020	AKT3
Canonical_pathway:reactome_cd28_dependent_pi3k_akt_signaling	106.55	0.0108352489315342	ENSG00000117020	AKT3
Canonical_pathway:reactome_ctla4_inhibitory_signaling	106.55	0.0108352489315342	ENSG00000117020	AKT3
Canonical_pathway:reactome_g_beta_gamma_signalling_through_pi3kgamma	92.59	0.0123744852642182	ENSG00000117020	AKT3
GO_bp:go_mitochondrial_genome_maintenance	92.59	0.0123744852642182	ENSG00000117020	AKT3
GO_cc:go_centriolar_satellite	88.64	0.0128870847943654	ENSG00000054282	SDCCAG8
Canonical_pathway:st_interleukin_4_pathway	85.37	0.0133994448666218	ENSG00000117020	AKT3
GO_bp:go_cytochrome_complex_assembly	85.37	0.0133994448666218	ENSG00000137288	UQCC2
GO_bp:go_polyol_biosynthetic_process	85.37	0.0133994448666218	ENSG00000161896	IP6K3
Canonical_pathway:sig_il4receptor_in_b_lyphocytes	82.02	0.0139115655804325	ENSG00000117020	AKT3
Canonical_pathway:st_gaq_pathway	82.02	0.0139115655804325	ENSG00000117020	AKT3
Canonical_pathway:reactome_g_protein_beta_gamma_signalling	82.02	0.0139115655804325	ENSG00000117020	AKT3
Canonical_pathway:reactome_pip3_activates_akt_signaling	82.02	0.0139115655804325	ENSG00000117020	AKT3
Canonical_pathway:pid_s1p_s1p3_pathway	76.18	0.0149350893302114	ENSG00000117020	AKT3
