id	or	p	ens.ids	gene.names
GO_bp:go_glandular_epithelial_cell_differentiation	206.89	8.31002939594579e-05	ENSG00000158669;ENSG00000165066	GPAT4;NKX6-3
GO_bp:go_columnar_cuboidal_epithelial_cell_differentiation	70.85	0.000664106743977992	ENSG00000158669;ENSG00000165066	GPAT4;NKX6-3
Canonical_pathway:reactome_unwinding_of_dna	316.27	0.00398529583318885	ENSG00000147536	GINS4
GO_bp:go_inner_cell_mass_cell_proliferation	316.27	0.00398529583318885	ENSG00000147536	GINS4
GO_bp:go_utp_metabolic_process	316.27	0.00398529583318885	ENSG00000086288	NME8
GO_mf:go_endodeoxyribonuclease_activity_producing_5_phosphomonoesters	316.27	0.00398529583318885	ENSG00000173818	ENDOV
GO_bp:go_maintenance_of_cell_polarity	288.32	0.00434691942906884	ENSG00000029534	ANK1
GO_bp:go_diacylglycerol_metabolic_process	288.32	0.00434691942906884	ENSG00000158669	GPAT4
GO_mf:go_3_5_dna_helicase_activity	288.32	0.00434691942906884	ENSG00000147536	GINS4
GO_bp:go_cdp_diacylglycerol_metabolic_process	244.77	0.00506982901713848	ENSG00000158669	GPAT4
GO_cc:go_axolemma	244.77	0.00506982901713848	ENSG00000029534	ANK1
GO_cc:go_axonemal_dynein_complex	244.77	0.00506982901713848	ENSG00000086288	NME8
GO_bp:go_guanosine_containing_compound_biosynthetic_process	227.29	0.00543111506778171	ENSG00000086288	NME8
GO_bp:go_epithelial_cell_maturation	227.29	0.00543111506778171	ENSG00000158669	GPAT4
GO_mf:go_cytoskeletal_adaptor_activity	227.29	0.00543111506778171	ENSG00000029534	ANK1
GO_bp:go_pyrimidine_ribonucleoside_triphosphate_metabolic_process	211.19	0.0057922886616355	ENSG00000086288	NME8
GO_bp:go_blastocyst_growth	197.98	0.00615334982791105	ENSG00000147536	GINS4
GO_cc:go_sperm_principal_piece	197.98	0.00615334982791105	ENSG00000086288	NME8
GO_mf:go_nucleoside_diphosphate_kinase_activity	197.98	0.00615334982791105	ENSG00000086288	NME8
GO_bp:go_glandular_epithelial_cell_development	187.91	0.00651429859566266	ENSG00000158669	GPAT4
GO_bp:go_pyrimidine_nucleoside_triphosphate_biosynthetic_process	177.16	0.00687513499423997	ENSG00000086288	NME8
GO_mf:go_lysophospholipid_acyltransferase_activity	177.16	0.00687513499423997	ENSG00000158669	GPAT4
Canonical_pathway:reactome_interaction_between_l1_and_ankyrins	158.94	0.00759647080033488	ENSG00000029534	ANK1
GO_bp:go_pyrimidine_nucleoside_triphosphate_metabolic_process	158.94	0.00759647080033488	ENSG00000086288	NME8
GO_bp:go_negative_regulation_of_oxidative_stress_induced_intrinsic_apoptotic_signaling_pathway	158.94	0.00759647080033488	ENSG00000086288	NME8
GO_cc:go_m_band	158.94	0.00759647080033488	ENSG00000029534	ANK1
GO_bp:go_gtp_metabolic_process	151.86	0.0079569702660669	ENSG00000086288	NME8
GO_bp:go_protein_targeting_to_plasma_membrane	144.95	0.00831735747905504	ENSG00000029534	ANK1
GO_cc:go_axoneme_part	144.95	0.00831735747905504	ENSG00000086288	NME8
GO_bp:go_pyrimidine_ribonucleotide_metabolic_process	138.34	0.00867763246846909	ENSG00000086288	NME8
GO_bp:go_dna_strand_elongation_involved_in_dna_replication	133.22	0.00903779526361914	ENSG00000147536	GINS4
GO_mf:go_spectrin_binding	127.7	0.00939784589336146	ENSG00000029534	ANK1
Canonical_pathway:reactome_synthesis_of_pa	122.82	0.00975778438699382	ENSG00000158669	GPAT4
GO_bp:go_phosphatidylcholine_biosynthetic_process	122.82	0.00975778438699382	ENSG00000158669	GPAT4
GO_mf:go_endoribonuclease_activity_producing_5_phosphomonoesters	122.82	0.00975778438699382	ENSG00000173818	ENDOV
GO_mf:go_acylglycerol_o_acyltransferase_activity	118.3	0.0101176107735111	ENSG00000158669	GPAT4
GO_bp:go_organophosphate_biosynthetic_process	17.12	0.0101916521682378	ENSG00000086288;ENSG00000158669	NME8;GPAT4
GO_bp:go_dna_replication_initiation	114.1	0.0104773250818979	ENSG00000147536	GINS4
GO_bp:go_neutral_lipid_biosynthetic_process	114.1	0.0104773250818979	ENSG00000158669	GPAT4
GO_bp:go_regulation_of_oxidative_stress_induced_intrinsic_apoptotic_signaling_pathway	114.1	0.0104773250818979	ENSG00000086288	NME8
Canonical_pathway:reactome_dna_strand_elongation	110.19	0.0108369273415883	ENSG00000147536	GINS4
GO_bp:go_pyrimidine_nucleotide_biosynthetic_process	110.19	0.0108369273415883	ENSG00000086288	NME8
GO_bp:go_establishment_or_maintenance_of_epithelial_cell_apical_basal_polarity	110.19	0.0108369273415883	ENSG00000029534	ANK1
GO_bp:go_dna_strand_elongation	110.19	0.0108369273415883	ENSG00000147536	GINS4
GO_bp:go_dna_repair	16.4	0.0110511018394604	ENSG00000173818;ENSG00000147536	ENDOV;GINS4
GO_bp:go_pyrimidine_nucleoside_biosynthetic_process	106.4	0.0111964175814048	ENSG00000086288	NME8
GO_bp:go_pyrimidine_ribonucleoside_metabolic_process	102.98	0.0115557958304661	ENSG00000086288	NME8
GO_bp:go_phosphatidic_acid_metabolic_process	99.78	0.0119150621177335	ENSG00000158669	GPAT4
GO_cc:go_a_band	96.78	0.0122742164726174	ENSG00000029534	ANK1
GO_bp:go_epithelial_cell_differentiation	15.39	0.0124238935649357	ENSG00000158669;ENSG00000165066	GPAT4;NKX6-3
GO_bp:go_negative_regulation_of_response_to_oxidative_stress	93.75	0.012633258923915	ENSG00000086288	NME8
GO_mf:go_endonuclease_activity_active_with_either_ribo_or_deoxyribonucleic_acids_and_producing_5_phosphomonoesters	93.75	0.012633258923915	ENSG00000173818	ENDOV
GO_cc:go_neuron_projection_membrane	91.45	0.0129921895007203	ENSG00000029534	ANK1
Canonical_pathway:reactome_triglyceride_biosynthesis	88.84	0.0133510082321227	ENSG00000158669	GPAT4
GO_bp:go_negative_regulation_of_epithelial_cell_differentiation	88.84	0.0133510082321227	ENSG00000165066	NKX6-3
GO_bp:go_establishment_or_maintenance_of_bipolar_cell_polarity	88.84	0.0133510082321227	ENSG00000029534	ANK1
GO_bp:go_cellular_response_to_stress	8.72	0.013666237057437	ENSG00000173818;ENSG00000086288;ENSG00000147536	ENDOV;NME8;GINS4
GO_cc:go_nuclear_replication_fork	84.12	0.0140683102748871	ENSG00000147536	GINS4
GO_mf:go_phosphotransferase_activity_phosphate_group_as_acceptor	84.12	0.0140683102748871	ENSG00000086288	NME8
GO_bp:go_pyrimidine_containing_compound_biosynthetic_process	80	0.0147851652844898	ENSG00000086288	NME8
GO_bp:go_lactation	80	0.0147851652844898	ENSG00000158669	GPAT4
GO_bp:go_cell_fate_determination	76.08	0.0155015734931134	ENSG00000165066	NKX6-3
GO_cc:go_dynein_complex	76.08	0.0155015734931134	ENSG00000086288	NME8
GO_bp:go_guanosine_containing_compound_metabolic_process	74.5	0.0158596101194398	ENSG00000086288	NME8
GO_bp:go_pyrimidine_nucleotide_metabolic_process	72.62	0.0162175351326955	ENSG00000086288	NME8
GO_bp:go_regulation_of_oxidative_stress_induced_cell_death	70.94	0.0165753485616138	ENSG00000086288	NME8
GO_mf:go_o_acyltransferase_activity	69.6	0.0169330504353724	ENSG00000158669	GPAT4
GO_mf:go_nucleobase_containing_compound_kinase_activity	69.6	0.0169330504353724	ENSG00000086288	NME8
GO_bp:go_secretion	12.94	0.0171412957545724	ENSG00000158669;ENSG00000029534	GPAT4;ANK1
Canonical_pathway:kegg_glycerolipid_metabolism	68.02	0.0172906407828409	ENSG00000158669	GPAT4
GO_bp:go_columnar_cuboidal_epithelial_cell_development	68.02	0.0172906407828409	ENSG00000158669	GPAT4
GO_bp:go_sperm_motility	66.6	0.0176481196331855	ENSG00000086288	NME8
GO_mf:go_endoribonuclease_activity	66.6	0.0176481196331855	ENSG00000173818	ENDOV
GO_bp:go_pyrimidine_nucleoside_metabolic_process	65.24	0.0180054870149623	ENSG00000086288	NME8
GO_mf:go_endodeoxyribonuclease_activity	65.24	0.0180054870149623	ENSG00000173818	ENDOV
GO_bp:go_ribonucleoside_triphosphate_biosynthetic_process	63.94	0.0183627429576257	ENSG00000086288	NME8
GO_mf:go_dna_helicase_activity	62.69	0.0187198874897209	ENSG00000147536	GINS4
GO_bp:go_rna_phosphodiester_bond_hydrolysis_endonucleolytic	58.14	0.0201473520937833	ENSG00000173818	ENDOV
GO_cc:go_sperm_flagellum	58.14	0.0201473520937833	ENSG00000086288	NME8
GO_cc:go_main_axon	56.11	0.0208604166859367	ENSG00000029534	ANK1
GO_bp:go_nucleotide_phosphorylation	55.14	0.0212167821558887	ENSG00000086288	NME8
GO_bp:go_blastocyst_development	53.23	0.0219291795879821	ENSG00000147536	GINS4
GO_cc:go_replication_fork	53.23	0.0219291795879821	ENSG00000147536	GINS4
GO_bp:go_nucleoside_triphosphate_biosynthetic_process	51.52	0.0226411325355551	ENSG00000086288	NME8
GO_bp:go_phosphatidylcholine_metabolic_process	50.7	0.0229969424000213	ENSG00000158669	GPAT4
GO_bp:go_regulation_of_response_to_oxidative_stress	50.7	0.0229969424000213	ENSG00000086288	NME8
GO_bp:go_regulation_of_multicellular_organism_growth	49.15	0.0237082290543	ENSG00000158669	GPAT4
GO_bp:go_cell_redox_homeostasis	48.4	0.0240637059019285	ENSG00000086288	NME8
GO_bp:go_cellular_response_to_dna_damage_stimulus	10.73	0.0241300392530156	ENSG00000173818;ENSG00000147536	ENDOV;GINS4
GO_cc:go_sarcoplasm	47.69	0.0244190718017983	ENSG00000029534	ANK1
GO_mf:go_single_stranded_rna_binding	47.69	0.0244190718017983	ENSG00000173818	ENDOV
GO_mf:go_deoxyribonuclease_activity	46.99	0.024774326782653	ENSG00000173818	ENDOV
GO_bp:go_body_fluid_secretion	45.61	0.0254845041028576	ENSG00000158669	GPAT4
GO_bp:go_dna_metabolic_process	10.16	0.0265969703990135	ENSG00000173818;ENSG00000147536	ENDOV;GINS4
GO_mf:go_atpase_binding	43.2	0.0269035289847838	ENSG00000029534	ANK1
Canonical_pathway:kegg_glycerophospholipid_metabolism	42.62	0.0272580083404128	ENSG00000158669	GPAT4
GO_bp:go_pyrimidine_containing_compound_metabolic_process	42.62	0.0272580083404128	ENSG00000086288	NME8
GO_bp:go_dna_geometric_change	40.43	0.028674819167493	ENSG00000147536	GINS4
GO_bp:go_recombinational_repair	40.43	0.028674819167493	ENSG00000147536	GINS4
GO_bp:go_nucleoside_diphosphate_metabolic_process	39.93	0.0290287453694701	ENSG00000086288	NME8
GO_bp:go_thioester_metabolic_process	39.93	0.0290287453694701	ENSG00000158669	GPAT4
Canonical_pathway:reactome_glycerophospholipid_biosynthesis	39.44	0.0293825610271807	ENSG00000158669	GPAT4
Canonical_pathway:reactome_l1cam_interactions	38.99	0.0297362661691357	ENSG00000029534	ANK1
GO_bp:go_neutral_lipid_metabolic_process	38.99	0.0297362661691357	ENSG00000158669	GPAT4
GO_bp:go_ethanolamine_containing_compound_metabolic_process	38.02	0.0304433450214182	ENSG00000158669	GPAT4
GO_cc:go_ciliary_plasm	38.02	0.0304433450214182	ENSG00000086288	NME8
GO_bp:go_purine_nucleoside_biosynthetic_process	37.16	0.0311499821565026	ENSG00000086288	NME8
GO_mf:go_cytoskeletal_protein_binding	9.22	0.0316885532830106	ENSG00000086288;ENSG00000029534	NME8;ANK1
Canonical_pathway:reactome_synthesis_of_dna	36.29	0.0318561778043309	ENSG00000147536	GINS4
GO_bp:go_negative_regulation_of_intrinsic_apoptotic_signaling_pathway	36.29	0.0318561778043309	ENSG00000086288	NME8
GO_bp:go_establishment_of_protein_localization_to_plasma_membrane	35.52	0.0325619321948944	ENSG00000029534	ANK1
GO_mf:go_ribonuclease_activity	33.98	0.0339721181228184	ENSG00000173818	ENDOV
GO_mf:go_structural_constituent_of_cytoskeleton	33.27	0.0346765501196753	ENSG00000029534	ANK1
GO_bp:go_dna_dependent_dna_replication	32.59	0.035380541777671	ENSG00000147536	GINS4
GO_bp:go_organophosphate_metabolic_process	8.51	0.036525794030657	ENSG00000086288;ENSG00000158669	NME8;GPAT4
GO_bp:go_cellular_response_to_reactive_oxygen_species	31.31	0.0367872049947064	ENSG00000086288	NME8
Canonical_pathway:reactome_s_phase	30.7	0.0374898770123198	ENSG00000147536	GINS4
GO_cc:go_motile_cilium	29.84	0.0385430611945414	ENSG00000086288	NME8
GO_bp:go_alcohol_biosynthetic_process	29.02	0.0395952574507928	ENSG00000158669	GPAT4
GO_bp:go_rna_phosphodiester_bond_hydrolysis	28.25	0.0406464665532423	ENSG00000173818	ENDOV
GO_bp:go_mammary_gland_development	27.76	0.0413467245840065	ENSG00000158669	GPAT4
GO_bp:go_epithelium_development	7.88	0.0418082643460835	ENSG00000158669;ENSG00000165066	GPAT4;NKX6-3
GO_cc:go_cell_projection_part	7.86	0.0419728692131663	ENSG00000086288;ENSG00000029534	NME8;ANK1
GO_bp:go_glycosyl_compound_biosynthetic_process	27.29	0.0420465444513423	ENSG00000086288	NME8
GO_mf:go_structure_specific_dna_binding	27.29	0.0420465444513423	ENSG00000173818	ENDOV
GO_bp:go_regulation_of_epithelial_cell_differentiation	27.06	0.0423962901451883	ENSG00000165066	NKX6-3
GO_cc:go_i_band	26.61	0.0430954531961474	ENSG00000029534	ANK1
GO_mf:go_endonuclease_activity	25.91	0.0441433773582858	ENSG00000173818	ENDOV
GO_cc:go_sarcolemma	25.71	0.0444924667493068	ENSG00000029534	ANK1
GO_bp:go_cell_maturation	24.71	0.0462362750154263	ENSG00000158669	GPAT4
GO_bp:go_amine_metabolic_process	24.33	0.0469330341321105	ENSG00000158669	GPAT4
GO_cc:go_leading_edge_membrane	23.96	0.0476293569108978	ENSG00000029534	ANK1
GO_bp:go_organonitrogen_compound_biosynthetic_process	7.27	0.0479838090400109	ENSG00000086288;ENSG00000158669	NME8;GPAT4
GO_cc:go_protein_dna_complex	23.61	0.0483252435793099	ENSG00000147536	GINS4
GO_bp:go_purine_containing_compound_biosynthetic_process	23.44	0.0486730234432807	ENSG00000086288	NME8
GO_cc:go_sperm_part	23.27	0.0490206943650611	ENSG00000086288	NME8
GO_bp:go_establishment_or_maintenance_of_cell_polarity	22.93	0.0497157094957698	ENSG00000029534	ANK1
