id	or	p	ens.ids	gene.names
GO_bp:go_response_to_growth_factor	40.48	0.000266990478280142	ENSG00000139352;ENSG00000110851;ENSG00000184304	ASCL1;PRDM4;PRKD1
GO_cc:go_rna_polymerase_ii_transcription_factor_complex	97.55	0.000393685085762435	ENSG00000139352;ENSG00000187855	ASCL1;ASCL4
GO_cc:go_nuclear_transcription_factor_complex	77.69	0.000614243813296009	ENSG00000139352;ENSG00000187855	ASCL1;ASCL4
GO_bp:go_regulation_of_multicellular_organismal_development	21.56	0.000680254992227074	ENSG00000162510;ENSG00000139352;ENSG00000184304;ENSG00000063660	MATN1;ASCL1;PRKD1;GPC1
GO_bp:go_glial_cell_differentiation	72.38	0.000705380827425305	ENSG00000139352;ENSG00000063660	ASCL1;GPC1
GO_bp:go_cell_proliferation	28.16	0.000751115659289071	ENSG00000139352;ENSG00000110851;ENSG00000184304	ASCL1;PRDM4;PRKD1
GO_bp:go_gliogenesis	56.72	0.00113144713486833	ENSG00000139352;ENSG00000063660	ASCL1;GPC1
GO_bp:go_regulation_of_ossification	55.42	0.00118482152830717	ENSG00000162510;ENSG00000184304	MATN1;PRKD1
GO_bp:go_positive_regulation_of_cell_differentiation	22.83	0.00135064597607019	ENSG00000139352;ENSG00000184304;ENSG00000063660	ASCL1;PRKD1;GPC1
GO_bp:go_response_to_nutrient	51.04	0.00139563899658263	ENSG00000139352;ENSG00000110851	ASCL1;PRDM4
GO_cc:go_transcription_factor_complex	32.71	0.00329012951349737	ENSG00000139352;ENSG00000187855	ASCL1;ASCL4
GO_bp:go_positive_regulation_of_endothelial_cell_chemotaxis	380.13	0.00341685328128793	ENSG00000184304	PRKD1
GO_bp:go_negative_regulation_of_fibroblast_growth_factor_receptor_signaling_pathway	380.13	0.00341685328128793	ENSG00000063660	GPC1
GO_bp:go_pons_development	380.13	0.00341685328128793	ENSG00000139352	ASCL1
GO_bp:go_positive_regulation_of_developmental_process	16.12	0.00349791267014215	ENSG00000139352;ENSG00000184304;ENSG00000063660	ASCL1;PRKD1;GPC1
GO_bp:go_positive_regulation_of_neuron_differentiation	31.61	0.0035148463168577	ENSG00000139352;ENSG00000184304	ASCL1;PRKD1
GO_bp:go_cartilage_morphogenesis	342.03	0.00372699326464954	ENSG00000162510	MATN1
GO_bp:go_cerebral_cortex_gabaergic_interneuron_differentiation	342.03	0.00372699326464954	ENSG00000139352	ASCL1
GO_bp:go_regulation_of_development_heterochronic	342.03	0.00372699326464954	ENSG00000139352	ASCL1
GO_bp:go_forebrain_neuron_fate_commitment	342.03	0.00372699326464954	ENSG00000139352	ASCL1
GO_bp:go_growth_plate_cartilage_development	342.03	0.00372699326464954	ENSG00000162510	MATN1
Canonical_pathway:reactome_activation_of_rac	316.88	0.00403705281351874	ENSG00000063660	GPC1
GO_bp:go_spinal_cord_association_neuron_differentiation	316.88	0.00403705281351874	ENSG00000139352	ASCL1
GO_bp:go_glial_cell_fate_commitment	316.88	0.00403705281351874	ENSG00000139352	ASCL1
GO_bp:go_ganglion_development	316.88	0.00403705281351874	ENSG00000139352	ASCL1
GO_bp:go_vascular_endothelial_growth_factor_signaling_pathway	292.59	0.00434703194416508	ENSG00000184304	PRKD1
GO_bp:go_positive_regulation_of_creb_transcription_factor_activity	292.59	0.00434703194416508	ENSG00000184304	PRKD1
