id	or	p	ens.ids	gene.names
GO_cc:go_inhibitory_synapse	847.98	0.00186509122293232	ENSG00000164061	BSN
GO_mf:go_ubiquitin_specific_protease_binding	847.98	0.00186509122293232	ENSG00000204463	BAG6
GO_mf:go_misfolded_protein_binding	847.98	0.00186509122293232	ENSG00000204463	BAG6
GO_bp:go_positive_regulation_of_erad_pathway	731.53	0.00217571411799022	ENSG00000204463	BAG6
GO_cc:go_cell_cortex_region	623.29	0.00248627256197054	ENSG00000164061	BSN
GO_mf:go_proteasome_binding	623.29	0.00248627256197054	ENSG00000204463	BAG6
GO_bp:go_synaptonemal_complex_organization	476.57	0.00326238674148671	ENSG00000204463	BAG6
GO_bp:go_protein_insertion_into_membrane	429.05	0.00357271965864259	ENSG00000204463	BAG6
GO_bp:go_regulation_of_erad_pathway	351.58	0.00434827012366679	ENSG00000204463	BAG6
GO_cc:go_presynaptic_active_zone	338.49	0.00450333191006502	ENSG00000164061	BSN
GO_bp:go_intrinsic_apoptotic_signaling_pathway_in_response_to_dna_damage_by_p53_class_mediator	326.25	0.00465837759618315	ENSG00000204463	BAG6
GO_mf:go_hsp70_protein_binding	326.25	0.00465837759618315	ENSG00000204463	BAG6
GO_bp:go_intrinsic_apoptotic_signaling_pathway_in_response_to_endoplasmic_reticulum_stress	314.83	0.00481340718279355	ENSG00000204463	BAG6
GO_bp:go_synapsis	265.97	0.00574324666067916	ENSG00000204463	BAG6
GO_bp:go_endoplasmic_reticulum_organization	258.45	0.00589816357449713	ENSG00000204463	BAG6
GO_mf:go_polyubiquitin_binding	251.47	0.00605306439569731	ENSG00000204463	BAG6
GO_bp:go_homologous_chromosome_segregation	207.17	0.00729169172577093	ENSG00000204463	BAG6
GO_mf:go_ribosome_binding	203.02	0.00744644774990577	ENSG00000204463	BAG6
GO_bp:go_chromosome_organization_involved_in_meiotic_cell_cycle	191.49	0.00791061931846493	ENSG00000204463	BAG6
GO_bp:go_intrinsic_apoptotic_signaling_pathway_by_p53_class_mediator	183.68	0.00821998662027179	ENSG00000204463	BAG6
GO_cc:go_neuronal_postsynaptic_density	183.68	0.00821998662027179	ENSG00000164061	BSN
GO_bp:go_negative_regulation_of_cellular_protein_catabolic_process	154.24	0.00976585844932887	ENSG00000204463	BAG6
