id	or	p	ens.ids	gene.names
GO_bp:go_response_to_endoplasmic_reticulum_stress	Inf	0.000144016746703319	ENSG00000204463;ENSG00000213676	BAG6;ATF6B
GO_bp:go_positive_regulation_of_transcription_from_rna_polymerase_ii_promoter_in_response_to_endoplasmic_reticulum_stress	1756.99	0.00124374874681132	ENSG00000213676	ATF6B
GO_mf:go_ubiquitin_specific_protease_binding	1756.99	0.00124374874681132	ENSG00000204463	BAG6
GO_mf:go_misfolded_protein_binding	1756.99	0.00124374874681132	ENSG00000204463	BAG6
GO_mf:go_camp_response_element_binding	1594.13	0.00134735954118537	ENSG00000213676	ATF6B
GO_bp:go_positive_regulation_of_erad_pathway	1380.88	0.00145096496057395	ENSG00000204463	BAG6
GO_mf:go_proteasome_binding	1233.95	0.00165815967646143	ENSG00000204463	BAG6
GO_bp:go_synaptonemal_complex_organization	909.55	0.00217605241071683	ENSG00000204463	BAG6
GO_bp:go_positive_regulation_of_transcription_from_rna_polymerase_ii_promoter_in_response_to_stress	854.43	0.00238317188252513	ENSG00000213676	ATF6B
GO_bp:go_protein_insertion_into_membrane	854.43	0.00238317188252513	ENSG00000204463	BAG6
GO_bp:go_regulation_of_erad_pathway	709.88	0.00290087650737569	ENSG00000204463	BAG6
GO_bp:go_intrinsic_apoptotic_signaling_pathway_in_response_to_dna_damage_by_p53_class_mediator	643.42	0.0031079207351935	ENSG00000204463	BAG6
GO_mf:go_hsp70_protein_binding	643.42	0.0031079207351935	ENSG00000204463	BAG6
GO_bp:go_intrinsic_apoptotic_signaling_pathway_in_response_to_endoplasmic_reticulum_stress	625.2	0.00321143478737362	ENSG00000204463	BAG6
GO_bp:go_er_nucleus_signaling_pathway	573.49	0.00352194469676559	ENSG00000213676	ATF6B
GO_bp:go_synapsis	532.11	0.0038324062349071	ENSG00000204463	BAG6
GO_bp:go_endoplasmic_reticulum_organization	510.99	0.00393588266470413	ENSG00000204463	BAG6
GO_mf:go_polyubiquitin_binding	495.04	0.0040393537207889	ENSG00000204463	BAG6
GO_bp:go_homologous_chromosome_segregation	411.57	0.00486692868196714	ENSG00000204463	BAG6
GO_mf:go_ribosome_binding	402.6	0.00497035136641089	ENSG00000204463	BAG6
GO_bp:go_chromosome_organization_involved_in_meiotic_cell_cycle	378.24	0.00528058717298441	ENSG00000204463	BAG6
GO_bp:go_intrinsic_apoptotic_signaling_pathway_by_p53_class_mediator	364.81	0.00548738417073091	ENSG00000204463	BAG6
GO_bp:go_cellular_response_to_stress	Inf	0.0062865438262305	ENSG00000204463;ENSG00000213676	BAG6;ATF6B
GO_bp:go_negative_regulation_of_cellular_protein_catabolic_process	305.38	0.00652104668793896	ENSG00000204463	BAG6
GO_bp:go_meiotic_chromosome_segregation	300.99	0.0066243833798082	ENSG00000204463	BAG6
GO_bp:go_regulation_of_dna_templated_transcription_in_response_to_stress	288.28	0.00693436120716528	ENSG00000213676	ATF6B
GO_bp:go_intrinsic_apoptotic_signaling_pathway_in_response_to_dna_damage	280.19	0.00714098621936921	ENSG00000204463	BAG6
GO_bp:go_erad_pathway	263.2	0.00765745469497614	ENSG00000204463	BAG6
GO_cc:go_proteasome_complex	259.04	0.007760732266342	ENSG00000204463	BAG6
GO_bp:go_meiosis_i	224.02	0.00889643083144631	ENSG00000204463	BAG6
GO_mf:go_heat_shock_protein_binding	216.13	0.00920605393823104	ENSG00000204463	BAG6
GO_mf:go_ribonucleoprotein_complex_binding	201.9	0.00982515503785764	ENSG00000204463	BAG6
GO_mf:go_protease_binding	184.38	0.0107534439043993	ENSG00000204463	BAG6
GO_bp:go_negative_regulation_of_protein_catabolic_process	177.86	0.0111658769954041	ENSG00000204463	BAG6
GO_mf:go_ubiquitin_like_protein_binding	163.03	0.0121965835040432	ENSG00000204463	BAG6
GO_bp:go_cellular_response_to_topologically_incorrect_protein	159	0.0125056906528279	ENSG00000213676	ATF6B
GO_bp:go_protein_acetylation	159	0.0125056906528279	ENSG00000204463	BAG6
GO_bp:go_signal_transduction_by_p53_class_mediator	153.05	0.0130207617423704	ENSG00000204463	BAG6
GO_bp:go_protein_stabilization	149.73	0.0133297399014398	ENSG00000204463	BAG6
GO_cc:go_intrinsic_component_of_endoplasmic_reticulum_membrane	144.15	0.0137416355362345	ENSG00000213676	ATF6B
GO_cc:go_protein_dna_complex	141.09	0.0140505008295815	ENSG00000213676	ATF6B
GO_bp:go_regulation_of_proteasomal_ubiquitin_dependent_protein_catabolic_process	130.62	0.0151825930637534	ENSG00000204463	BAG6
GO_bp:go_intrinsic_apoptotic_signaling_pathway	129.49	0.015285478292369	ENSG00000204463	BAG6
GO_bp:go_meiotic_cell_cycle_process	129.39	0.0153883581464553	ENSG00000204463	BAG6
GO_bp:go_protein_acylation	127	0.0155941017304033	ENSG00000204463	BAG6
GO_bp:go_negative_regulation_of_cellular_catabolic_process	123.84	0.0160055244037277	ENSG00000204463	BAG6
GO_bp:go_response_to_topologically_incorrect_protein	118.33	0.0167253071619626	ENSG00000213676	ATF6B
GO_bp:go_regulation_of_proteasomal_protein_catabolic_process	106.69	0.0185749678349465	ENSG00000204463	BAG6
GO_bp:go_meiotic_cell_cycle	104.85	0.0188830753153955	ENSG00000204463	BAG6
GO_bp:go_respiratory_system_development	97.17	0.0203202706499926	ENSG00000204463	BAG6
GO_bp:go_negative_regulation_of_catabolic_process	94.73	0.0208332994063357	ENSG00000204463	BAG6
GO_cc:go_cytosolic_part	89.11	0.0221665453490507	ENSG00000204463	BAG6
GO_bp:go_regulation_of_protein_stability	87.05	0.0225765921352149	ENSG00000204463	BAG6
GO_bp:go_nuclear_chromosome_segregation	84.03	0.0233964277276439	ENSG00000204463	BAG6
GO_mf:go_ubiquitin_like_protein_ligase_binding	73.62	0.0266723303793561	ENSG00000204463	BAG6
GO_bp:go_positive_regulation_of_protein_catabolic_process	73.08	0.0268768915598669	ENSG00000204463	BAG6
GO_bp:go_establishment_of_protein_localization_to_membrane	72.55	0.0270814312421869	ENSG00000204463	BAG6
GO_bp:go_chromosome_segregation	70.17	0.0278993749895812	ENSG00000204463	BAG6
