id	or	p	ens.ids	gene.names
GO_cc:go_microtubule_organizing_center_part	272.39	0.000160633169924415	ENSG00000137312;ENSG00000204536	FLOT1;CCHCR1
GO_cc:go_microtubule_cytoskeleton	Inf	0.000163126590806133	ENSG00000137312;ENSG00000204536;ENSG00000106665	FLOT1;CCHCR1;CLIP2
GO_cc:go_cytoskeletal_part	Inf	0.000394704811845027	ENSG00000137312;ENSG00000204536;ENSG00000106665	FLOT1;CCHCR1;CLIP2
GO_cc:go_cytoskeleton	Inf	0.00101406202817717	ENSG00000137312;ENSG00000204536;ENSG00000106665	FLOT1;CCHCR1;CLIP2
GO_bp:go_regulation_of_cell_cell_adhesion_mediated_by_cadherin	916.82	0.00170975560386932	ENSG00000137312	FLOT1
GO_cc:go_centrosome	78.42	0.00183050359554099	ENSG00000137312;ENSG00000204536	FLOT1;CCHCR1
GO_bp:go_cellular_response_to_exogenous_dsrna	847.98	0.00186509122293232	ENSG00000137312	FLOT1
GO_cc:go_cell_trailing_edge	847.98	0.00186509122293232	ENSG00000137312	FLOT1
GO_bp:go_protein_kinase_c_signaling	623.29	0.00248627256197054	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_toll_like_receptor_4_signaling_pathway	583.08	0.00264152761700909	ENSG00000137312	FLOT1
GO_bp:go_membrane_raft_organization	583.08	0.00264152761700909	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_synaptic_transmission_dopaminergic	583.08	0.00264152761700909	ENSG00000137312	FLOT1
GO_cc:go_microtubule_plus_end	583.08	0.00264152761700909	ENSG00000106665	CLIP2
GO_bp:go_regulation_of_heterotypic_cell_cell_adhesion	548.09	0.00279676656142069	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_toll_like_receptor_signaling_pathway	527.4	0.00295198939633823	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_myoblast_fusion	527.4	0.00295198939633823	ENSG00000137312	FLOT1
GO_cc:go_microtubule_organizing_center	60.68	0.00298933593720269	ENSG00000137312;ENSG00000204536	FLOT1;CCHCR1
GO_cc:go_lamellar_body	495.73	0.00310719612288701	ENSG00000106665	CLIP2
GO_cc:go_microtubule_end	446.23	0.00341756125326642	ENSG00000106665	CLIP2
GO_mf:go_ionotropic_glutamate_receptor_binding	429.05	0.00357271965864259	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_cell_junction_assembly	412.14	0.0037278619591028	ENSG00000137312	FLOT1
GO_bp:go_membrane_assembly	402.04	0.00388298815470645	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_syncytium_formation_by_plasma_membrane_fusion	402.04	0.00388298815470645	ENSG00000137312	FLOT1
GO_cc:go_centriolar_satellite	402.04	0.00388298815470645	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_skeletal_muscle_tissue_development	383.48	0.00403809824693768	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_myotube_differentiation	338.49	0.00450333191006502	ENSG00000137312	FLOT1
GO_bp:go_protein_export_from_nucleus	326.25	0.00465837759618315	ENSG00000204536	CCHCR1
GO_bp:go_membrane_biogenesis	326.25	0.00465837759618315	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_interferon_beta_production	326.25	0.00465837759618315	ENSG00000137312	FLOT1
GO_cc:go_cop9_signalosome	299.65	0.00512341806093841	ENSG00000137312	FLOT1
Canonical_pathway:sig_pip3_signaling_in_b_lymphocytes	273.67	0.00558831365311596	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_receptor_internalization	265.97	0.00574324666067916	ENSG00000137312	FLOT1
GO_mf:go_glutamate_receptor_binding	265.97	0.00574324666067916	ENSG00000137312	FLOT1
GO_bp:go_cellular_response_to_dsrna	258.45	0.00589816357449713	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_interferon_beta_production	222.92	0.00682732713942968	ENSG00000137312	FLOT1
GO_bp:go_response_to_exogenous_dsrna	215.64	0.0069821314214823	ENSG00000137312	FLOT1
Canonical_pathway:sig_bcr_signaling_pathway	211.38	0.00713691961667229	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_toll_like_receptor_signaling_pathway	203.02	0.00744644774990577	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_skeletal_muscle_tissue_development	194.32	0.00775591154530386	ENSG00000137312	FLOT1
Canonical_pathway:sig_insulin_receptor_pathway_in_cardiac_myocytes	191.49	0.00791061931846493	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_striated_muscle_cell_differentiation	187.35	0.00806531101009889	ENSG00000137312	FLOT1
GO_cc:go_cell_cell_adherens_junction	180.11	0.00837464615045902	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_myotube_differentiation	176.64	0.00852928960108068	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_muscle_tissue_development	173.28	0.00868391697325865	ENSG00000137312	FLOT1
GO_cc:go_cytoplasmic_microtubule	170.02	0.00883852826776543	ENSG00000106665	CLIP2
GO_cc:go_cortical_actin_cytoskeleton	166.88	0.00899312348537107	ENSG00000137312	FLOT1
GO_cc:go_cell_cell_contact_zone	154.24	0.00976585844932887	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_cell_junction_assembly	142.76	0.0105381916172715	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_type_i_interferon_production	138.63	0.0108470124045804	ENSG00000137312	FLOT1
GO_bp:go_response_to_dsrna	134.18	0.0111557689282158	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_protein_binding	132.31	0.0113101230928605	ENSG00000137312	FLOT1
