id	or	p	ens.ids	gene.names
GO_cc:go_anchoring_junction	116.77	6.23810356554353e-05	ENSG00000139437;ENSG00000137337;ENSG00000137312	TCHP;MDC1;FLOT1
GO_cc:go_cell_cortex_part	164.4	0.000220822652317123	ENSG00000139437;ENSG00000137312	TCHP;FLOT1
GO_cc:go_cell_junction	47.75	0.000791127361628087	ENSG00000139437;ENSG00000137337;ENSG00000137312	TCHP;MDC1;FLOT1
GO_cc:go_cell_cortex	81.18	0.000879821023994739	ENSG00000139437;ENSG00000137312	TCHP;FLOT1
GO_cc:go_cytoplasmic_region	67.23	0.00127076994209852	ENSG00000139437;ENSG00000137312	TCHP;FLOT1
GO_cc:go_apical_part_of_cell	52.8	0.00203261568941234	ENSG00000139437;ENSG00000137312	TCHP;FLOT1
GO_cc:go_cell_cell_junction	49.83	0.00227368015081966	ENSG00000139437;ENSG00000137312	TCHP;FLOT1
GO_bp:go_regulation_of_cell_cell_adhesion_mediated_by_cadherin	625.99	0.00227908330433835	ENSG00000137312	FLOT1
GO_cc:go_cell_substrate_junction	48.02	0.00244168070700425	ENSG00000137337;ENSG00000137312	MDC1;FLOT1
GO_bp:go_intra_s_dna_damage_checkpoint	566.52	0.00248607934526823	ENSG00000137337	MDC1
GO_bp:go_cellular_response_to_exogenous_dsrna	566.52	0.00248607934526823	ENSG00000137312	FLOT1
GO_cc:go_cell_trailing_edge	566.52	0.00248607934526823	ENSG00000137312	FLOT1
Canonical_pathway:reactome_homologous_recombination_repair_of_replication_independent_double_strand_breaks	421.84	0.00331374143592	ENSG00000137337	MDC1
GO_bp:go_protein_kinase_c_signaling	421.84	0.00331374143592	ENSG00000137312	FLOT1
GO_cc:go_cell_cortex_region	421.84	0.00331374143592	ENSG00000139437	TCHP
GO_bp:go_regulation_of_toll_like_receptor_4_signaling_pathway	399.79	0.00352057645706905	ENSG00000137312	FLOT1
GO_bp:go_membrane_raft_organization	399.79	0.00352057645706905	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_synaptic_transmission_dopaminergic	399.79	0.00352057645706905	ENSG00000137312	FLOT1
GO_cc:go_centrosome	39.2	0.00360052366774681	ENSG00000139437;ENSG00000137312	TCHP;FLOT1
GO_bp:go_regulation_of_heterotypic_cell_cell_adhesion	371.05	0.00372737928436762	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_toll_like_receptor_signaling_pathway	351.24	0.00393414992126984	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_myoblast_fusion	351.24	0.00393414992126984	ENSG00000137312	FLOT1
Canonical_pathway:reactome_double_strand_break_repair	300.7	0.0045542687217659	ENSG00000137337	MDC1
GO_bp:go_negative_regulation_of_organelle_assembly	300.7	0.0045542687217659	ENSG00000139437	TCHP
GO_mf:go_ionotropic_glutamate_receptor_binding	286.18	0.00476091062951345	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_cell_junction_assembly	277.58	0.00496752036387549	ENSG00000137312	FLOT1
GO_bp:go_membrane_assembly	265.16	0.00517409792751	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_syncytium_formation_by_plasma_membrane_fusion	265.16	0.00517409792751	ENSG00000137312	FLOT1
GO_cc:go_centriolar_satellite	265.16	0.00517409792751	ENSG00000137312	FLOT1
