id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_cellular_amide_metabolic_process	109.92	0.000956379495936564	ENSG00000134744;ENSG00000137411	ZCCHC11;VARS2
GO_bp:go_posttranscriptional_regulation_of_gene_expression	85.99	0.00153365188382599	ENSG00000134744;ENSG00000137411	ZCCHC11;VARS2
GO_mf:go_aminoacyl_trna_editing_activity	1041.11	0.00155440386953687	ENSG00000137411	VARS2
Canonical_pathway:kegg_valine_leucine_and_isoleucine_biosynthesis	916.82	0.00170975560386932	ENSG00000137411	VARS2
GO_bp:go_pre_mirna_processing	767.48	0.00202041072714443	ENSG00000134744	ZCCHC11
GO_bp:go_histone_mrna_catabolic_process	731.53	0.00217571411799022	ENSG00000134744	ZCCHC11
GO_bp:go_ncrna_metabolic_process	71.64	0.00217772371875901	ENSG00000134744;ENSG00000137411	ZCCHC11;VARS2
GO_bp:go_neuron_cell_cell_adhesion	669.57	0.0023310013958896	ENSG00000152092	ASTN1
GO_bp:go_regulation_of_translational_fidelity	669.57	0.0023310013958896	ENSG00000137411	VARS2
Canonical_pathway:reactome_mitochondrial_trna_aminoacylation	476.57	0.00326238674148671	ENSG00000137411	VARS2
GO_bp:go_ncrna_catabolic_process	446.23	0.00341756125326642	ENSG00000134744	ZCCHC11
GO_bp:go_dsrna_fragmentation	446.23	0.00341756125326642	ENSG00000134744	ZCCHC11
GO_bp:go_regulation_of_translational_elongation	429.05	0.00357271965864259	ENSG00000137411	VARS2
GO_bp:go_histone_mrna_metabolic_process	351.58	0.00434827012366679	ENSG00000134744	ZCCHC11
GO_bp:go_cellular_response_to_dsrna	258.45	0.00589816357449713	ENSG00000134744	ZCCHC11
Canonical_pathway:kegg_aminoacyl_trna_biosynthesis	237.97	0.00636281776297287	ENSG00000137411	VARS2
Canonical_pathway:reactome_trna_aminoacylation	232.45	0.0065176703109483	ENSG00000137411	VARS2
GO_bp:go_posttranscriptional_gene_silencing	232.45	0.0065176703109483	ENSG00000134744	ZCCHC11
GO_mf:go_ligase_activity_forming_carbon_oxygen_bonds	222.92	0.00682732713942968	ENSG00000137411	VARS2
GO_bp:go_amino_acid_activation	187.35	0.00806531101009889	ENSG00000137411	VARS2
GO_bp:go_response_to_dsrna	134.18	0.0111557689282158	ENSG00000134744	ZCCHC11
GO_bp:go_rna_3_end_processing	99.56	0.0150098059206309	ENSG00000134744	ZCCHC11
GO_bp:go_neuron_migration	88.35	0.0168561812299495	ENSG00000152092	ASTN1
GO_bp:go_gene_silencing_by_rna	80.32	0.0185466636687263	ENSG00000134744	ZCCHC11
GO_mf:go_nucleotidyltransferase_activity	77.08	0.0193144237419468	ENSG00000134744	ZCCHC11
GO_bp:go_negative_regulation_of_cellular_amide_metabolic_process	73.51	0.0202352071780028	ENSG00000134744	ZCCHC11
GO_mf:go_carboxylic_ester_hydrolase_activity	73.51	0.0202352071780028	ENSG00000137411	VARS2
GO_bp:go_maintenance_of_cell_number	72.94	0.0203886150265358	ENSG00000134744	ZCCHC11
GO_bp:go_trna_metabolic_process	54.79	0.0269700141698843	ENSG00000137411	VARS2
GO_bp:go_gene_silencing	53.27	0.0277333744812069	ENSG00000134744	ZCCHC11
GO_bp:go_locomotory_behavior	52.97	0.0278859986177644	ENSG00000152092	ASTN1
GO_bp:go_regulation_of_gene_expression_epigenetic	48.37	0.0304781657209531	ENSG00000134744	ZCCHC11
