id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_innate_immune_response	Inf	0.000328251336203361	ENSG00000137312;ENSG00000204520	FLOT1;MICA
GO_mf:go_beta_2_microglobulin_binding	2046.94	0.00103651103424396	ENSG00000204520	MICA
GO_bp:go_regulation_of_cell_cell_adhesion_mediated_by_cadherin	1766.94	0.00114013257787027	ENSG00000137312	FLOT1
GO_bp:go_negative_regulation_of_natural_killer_cell_mediated_immunity	1756.99	0.00124374874681132	ENSG00000204520	MICA
GO_bp:go_cellular_response_to_exogenous_dsrna	1756.99	0.00124374874681132	ENSG00000137312	FLOT1
GO_cc:go_cell_trailing_edge	1756.99	0.00124374874681132	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_defense_response	Inf	0.00144187657755163	ENSG00000137312;ENSG00000204520	FLOT1;MICA
GO_bp:go_protein_kinase_c_signaling	1233.95	0.00165815967646143	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_immune_response	Inf	0.00176094816292019	ENSG00000137312;ENSG00000204520	FLOT1;MICA
GO_bp:go_regulation_of_toll_like_receptor_4_signaling_pathway	1139.05	0.00176174897212378	ENSG00000137312	FLOT1
GO_bp:go_membrane_raft_organization	1139.05	0.00176174897212378	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_synaptic_transmission_dopaminergic	1139.05	0.00176174897212378	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_heterotypic_cell_cell_adhesion	1126.59	0.00186533289379942	ENSG00000137312	FLOT1
GO_bp:go_negative_regulation_of_cell_killing	1126.59	0.00186533289379942	ENSG00000204520	MICA
GO_bp:go_positive_regulation_of_toll_like_receptor_signaling_pathway	1022.99	0.00196891144053402	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_myoblast_fusion	1022.99	0.00196891144053402	ENSG00000137312	FLOT1
GO_bp:go_cytolysis	854.43	0.00238317188252513	ENSG00000204520	MICA
GO_mf:go_ionotropic_glutamate_receptor_binding	854.43	0.00238317188252513	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_cell_junction_assembly	815.21	0.00248672355682755	ENSG00000137312	FLOT1
GO_bp:go_membrane_assembly	780.91	0.0025902698563488	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_syncytium_formation_by_plasma_membrane_fusion	780.91	0.0025902698563488	ENSG00000137312	FLOT1
GO_cc:go_centriolar_satellite	780.91	0.0025902698563488	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_skeletal_muscle_tissue_development	750.79	0.00269381078120445	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_natural_killer_cell_activation	729.68	0.0027973463315083	ENSG00000204520	MICA
GO_bp:go_natural_killer_cell_mediated_immunity	729.68	0.0027973463315083	ENSG00000204520	MICA
GO_bp:go_t_cell_mediated_immunity	729.68	0.0027973463315083	ENSG00000204520	MICA
GO_bp:go_positive_regulation_of_myotube_differentiation	689.77	0.00300440130892166	ENSG00000137312	FLOT1
GO_bp:go_membrane_biogenesis	643.42	0.0031079207351935	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_interferon_beta_production	643.42	0.0031079207351935	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_natural_killer_cell_mediated_immunity	590.15	0.00341844676831127	ENSG00000204520	MICA
GO_cc:go_cop9_signalosome	590.15	0.00341844676831127	ENSG00000137312	FLOT1
Canonical_pathway:sig_pip3_signaling_in_b_lymphocytes	533.94	0.00372892443021555	ENSG00000137312	FLOT1
GO_bp:go_leukocyte_mediated_cytotoxicity	533.94	0.00372892443021555	ENSG00000204520	MICA
GO_bp:go_negative_regulation_of_lymphocyte_mediated_immunity	533.94	0.00372892443021555	ENSG00000204520	MICA
GO_bp:go_regulation_of_receptor_internalization	532.11	0.0038324062349071	ENSG00000137312	FLOT1
GO_mf:go_glutamate_receptor_binding	532.11	0.0038324062349071	ENSG00000137312	FLOT1
GO_bp:go_negative_regulation_of_innate_immune_response	510.99	0.00393588266470413	ENSG00000204520	MICA
GO_bp:go_cellular_response_to_dsrna	510.99	0.00393588266470413	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_interferon_beta_production	441.03	0.00455662838029791	ENSG00000137312	FLOT1
