id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_cell_cell_adhesion_mediated_by_cadherin	1766.94	0.00114013257787027	ENSG00000137312	FLOT1
GO_bp:go_l_ascorbic_acid_metabolic_process	1766.94	0.00114013257787027	ENSG00000065621	GSTO2
GO_bp:go_cellular_response_to_exogenous_dsrna	1756.99	0.00124374874681132	ENSG00000137312	FLOT1
GO_cc:go_cell_trailing_edge	1756.99	0.00124374874681132	ENSG00000137312	FLOT1
GO_bp:go_cellular_response_to_arsenic_containing_substance	1380.88	0.00145096496057395	ENSG00000065621	GSTO2
GO_bp:go_protein_kinase_c_signaling	1233.95	0.00165815967646143	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_toll_like_receptor_4_signaling_pathway	1139.05	0.00176174897212378	ENSG00000137312	FLOT1
GO_bp:go_membrane_raft_organization	1139.05	0.00176174897212378	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_synaptic_transmission_dopaminergic	1139.05	0.00176174897212378	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_heterotypic_cell_cell_adhesion	1126.59	0.00186533289379942	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_toll_like_receptor_signaling_pathway	1022.99	0.00196891144053402	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_myoblast_fusion	1022.99	0.00196891144053402	ENSG00000137312	FLOT1
GO_bp:go_glutathione_derivative_metabolic_process	909.55	0.00217605241071683	ENSG00000065621	GSTO2
Canonical_pathway:reactome_glutathione_conjugation	854.43	0.00238317188252513	ENSG00000065621	GSTO2
GO_mf:go_ionotropic_glutamate_receptor_binding	854.43	0.00238317188252513	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_cell_junction_assembly	815.21	0.00248672355682755	ENSG00000137312	FLOT1
GO_bp:go_membrane_assembly	780.91	0.0025902698563488	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_syncytium_formation_by_plasma_membrane_fusion	780.91	0.0025902698563488	ENSG00000137312	FLOT1
GO_cc:go_centriolar_satellite	780.91	0.0025902698563488	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_skeletal_muscle_tissue_development	750.79	0.00269381078120445	ENSG00000137312	FLOT1
GO_bp:go_response_to_arsenic_containing_substance	709.88	0.00290087650737569	ENSG00000065621	GSTO2
GO_bp:go_positive_regulation_of_myotube_differentiation	689.77	0.00300440130892166	ENSG00000137312	FLOT1
GO_bp:go_membrane_biogenesis	643.42	0.0031079207351935	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_interferon_beta_production	643.42	0.0031079207351935	ENSG00000137312	FLOT1
GO_mf:go_disulfide_oxidoreductase_activity	625.2	0.00321143478737362	ENSG00000065621	GSTO2
GO_mf:go_glutathione_transferase_activity	625.2	0.00321143478737362	ENSG00000065621	GSTO2
GO_cc:go_cop9_signalosome	590.15	0.00341844676831127	ENSG00000137312	FLOT1
Canonical_pathway:sig_pip3_signaling_in_b_lymphocytes	533.94	0.00372892443021555	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_receptor_internalization	532.11	0.0038324062349071	ENSG00000137312	FLOT1
GO_mf:go_glutamate_receptor_binding	532.11	0.0038324062349071	ENSG00000137312	FLOT1
GO_bp:go_cellular_response_to_dsrna	510.99	0.00393588266470413	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_interferon_beta_production	441.03	0.00455662838029791	ENSG00000137312	FLOT1
GO_bp:go_response_to_exogenous_dsrna	430.76	0.00466006718902223	ENSG00000137312	FLOT1
Canonical_pathway:sig_bcr_signaling_pathway	420.94	0.00476350062269781	ENSG00000137312	FLOT1
Canonical_pathway:kegg_glutathione_metabolism	402.6	0.00497035136641089	ENSG00000065621	GSTO2
GO_bp:go_regulation_of_toll_like_receptor_signaling_pathway	402.6	0.00497035136641089	ENSG00000137312	FLOT1
GO_mf:go_oxidoreductase_activity_acting_on_a_sulfur_group_of_donors	394.04	0.00507376867614373	ENSG00000065621	GSTO2
Canonical_pathway:reactome_metabolism_of_vitamins_and_cofactors	385.84	0.0051771806118075	ENSG00000065621	GSTO2
GO_bp:go_regulation_of_skeletal_muscle_tissue_development	385.84	0.0051771806118075	ENSG00000137312	FLOT1
Canonical_pathway:sig_insulin_receptor_pathway_in_cardiac_myocytes	378.24	0.00528058717298441	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_striated_muscle_cell_differentiation	371.45	0.00538398835925435	ENSG00000137312	FLOT1
GO_cc:go_cell_cell_adherens_junction	358.32	0.00559077460805746	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_myotube_differentiation	352	0.00569415967081299	ENSG00000137312	FLOT1
GO_bp:go_glutathione_metabolic_process	345.86	0.00579753935911065	ENSG00000065621	GSTO2
GO_bp:go_positive_regulation_of_muscle_tissue_development	345.86	0.00579753935911065	ENSG00000137312	FLOT1
GO_cc:go_cortical_actin_cytoskeleton	334.8	0.00600428261171626	ENSG00000137312	FLOT1
GO_mf:go_transferase_activity_transferring_alkyl_or_aryl_other_than_methyl_groups	329.99	0.00610764617624737	ENSG00000065621	GSTO2
GO_cc:go_cell_cell_contact_zone	305.38	0.00652104668793896	ENSG00000137312	FLOT1
Canonical_pathway:kegg_metabolism_of_xenobiotics_by_cytochrome_p450	284.19	0.00703767640056985	ENSG00000065621	GSTO2
GO_bp:go_regulation_of_cell_junction_assembly	284.19	0.00703767640056985	ENSG00000137312	FLOT1
Canonical_pathway:reactome_phase_ii_conjugation	280.19	0.00714098621936921	ENSG00000065621	GSTO2
Canonical_pathway:kegg_drug_metabolism_cytochrome_p450	276.28	0.00724429066367527	ENSG00000065621	GSTO2
GO_bp:go_positive_regulation_of_type_i_interferon_production	276.28	0.00724429066367527	ENSG00000137312	FLOT1
GO_bp:go_response_to_dsrna	268.4	0.00745088342871281	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_protein_binding	263.61	0.00755417174913575	ENSG00000137312	FLOT1
GO_bp:go_extracellular_matrix_disassembly	263.2	0.00765745469497614	ENSG00000137312	FLOT1
GO_bp:go_detoxification	259.04	0.007760732266342	ENSG00000065621	GSTO2
GO_bp:go_regulation_of_receptor_mediated_endocytosis	248.42	0.00807053273363889	ENSG00000137312	FLOT1
GO_cc:go_cortical_cytoskeleton	238.42	0.00838028482932474	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_muscle_cell_differentiation	229.58	0.00868998855423453	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_striated_muscle_cell_differentiation	226.77	0.00879321238000597	ENSG00000137312	FLOT1
GO_bp:go_water_soluble_vitamin_metabolic_process	224.02	0.00889643083144631	ENSG00000065621	GSTO2
GO_cc:go_plasma_membrane_raft	224.02	0.00889643083144631	ENSG00000137312	FLOT1
GO_bp:go_establishment_of_protein_localization_to_plasma_membrane	211.17	0.00941244246957018	ENSG00000137312	FLOT1
GO_cc:go_pigment_granule	191.69	0.0104440626535197	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_muscle_tissue_development	188.2	0.0106503221951344	ENSG00000137312	FLOT1
GO_bp:go_response_to_xenobiotic_stimulus	188.2	0.0106503221951344	ENSG00000065621	GSTO2
GO_mf:go_protease_binding	184.38	0.0107534439043993	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_rho_protein_signal_transduction	176.28	0.011268971832175	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_synaptic_transmission	174.72	0.0113720612940281	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_type_i_interferon_production	174.72	0.0113720612940281	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_endocytosis	168.7	0.0117843653954492	ENSG00000137312	FLOT1
GO_bp:go_vitamin_metabolic_process	163.03	0.0121965835040432	ENSG00000065621	GSTO2
GO_cc:go_cell_cortex_part	163.03	0.0121965835040432	ENSG00000137312	FLOT1
GO_cc:go_sarcolemma	154.18	0.0129177582732372	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_binding	151.94	0.0131237598368005	ENSG00000137312	FLOT1
Canonical_pathway:kegg_insulin_signaling_pathway	141.09	0.0140505008295815	ENSG00000137312	FLOT1
Canonical_pathway:reactome_biological_oxidations	140.09	0.0141534451784966	ENSG00000065621	GSTO2
GO_cc:go_microtubule_organizing_center_part	135.25	0.0146680863033518	ENSG00000137312	FLOT1
GO_bp:go_protein_localization_to_cell_periphery	127	0.0155941017304033	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_muscle_cell_differentiation	126	0.0156969654604686	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_protein_binding	114.65	0.0172392764664292	ENSG00000137312	FLOT1
GO_cc:go_lamellipodium	113.23	0.0174448265667166	ENSG00000137312	FLOT1
GO_bp:go_rna_localization	108.6	0.0182668119839532	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_ras_protein_signal_transduction	104.25	0.0189857670597507	ENSG00000137312	FLOT1
GO_bp:go_nucleobase_containing_compound_transport	99.73	0.0198071075293544	ENSG00000137312	FLOT1
GO_bp:go_sulfur_compound_biosynthetic_process	96.18	0.0205254982760236	ENSG00000065621	GSTO2
GO_bp:go_regulation_of_endocytosis	96.18	0.0205254982760236	ENSG00000137312	FLOT1
GO_bp:go_monosaccharide_metabolic_process	95.21	0.0207307044038992	ENSG00000065621	GSTO2
GO_bp:go_plasma_membrane_organization	94.26	0.0209358890338742	ENSG00000137312	FLOT1
GO_cc:go_basolateral_plasma_membrane	91.58	0.0215513139337293	ENSG00000137312	FLOT1
GO_bp:go_cellular_modified_amino_acid_metabolic_process	89.92	0.0219614897089979	ENSG00000065621	GSTO2
GO_bp:go_response_to_endoplasmic_reticulum_stress	82.24	0.0239086503000615	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_cell_cell_adhesion	81.53	0.0241135017066414	ENSG00000137312	FLOT1
GO_bp:go_response_to_toxic_substance	81.53	0.0241135017066414	ENSG00000065621	GSTO2
GO_cc:go_cell_cortex	80.84	0.0243183316154206	ENSG00000137312	FLOT1
GO_bp:go_protein_homooligomerization	77.86	0.025239800164035	ENSG00000137312	FLOT1
GO_bp:go_establishment_of_protein_localization_to_membrane	72.55	0.0270814312421869	ENSG00000137312	FLOT1
GO_cc:go_lytic_vacuole_membrane	69.42	0.0282060152140806	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_small_gtpase_mediated_signal_transduction	69.17	0.0283082178733091	ENSG00000137312	FLOT1
