id	or	p	ens.ids	gene.names
GO_cc:go_basolateral_plasma_membrane	183.54	0.000347957058084941	ENSG00000137312;ENSG00000204580	FLOT1;DDR1
GO_bp:go_extracellular_structure_organization	127.62	0.000706221816329331	ENSG00000137312;ENSG00000204580	FLOT1;DDR1
GO_bp:go_regulation_of_cell_cell_adhesion_mediated_by_cadherin	916.82	0.00170975560386932	ENSG00000137312	FLOT1
GO_bp:go_cellular_response_to_exogenous_dsrna	847.98	0.00186509122293232	ENSG00000137312	FLOT1
GO_cc:go_cell_trailing_edge	847.98	0.00186509122293232	ENSG00000137312	FLOT1
GO_mf:go_ribosomal_small_subunit_binding	847.98	0.00186509122293232	ENSG00000106682	EIF4H
GO_mf:go_annealing_activity	847.98	0.00186509122293232	ENSG00000106682	EIF4H
GO_bp:go_regulation_of_extracellular_matrix_disassembly	731.53	0.00217571411799022	ENSG00000204580	DDR1
GO_bp:go_protein_kinase_c_signaling	623.29	0.00248627256197054	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_toll_like_receptor_4_signaling_pathway	583.08	0.00264152761700909	ENSG00000137312	FLOT1
GO_bp:go_membrane_raft_organization	583.08	0.00264152761700909	ENSG00000137312	FLOT1
GO_bp:go_mammary_gland_lobule_development	583.08	0.00264152761700909	ENSG00000204580	DDR1
GO_bp:go_regulation_of_synaptic_transmission_dopaminergic	583.08	0.00264152761700909	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_heterotypic_cell_cell_adhesion	548.09	0.00279676656142069	ENSG00000137312	FLOT1
GO_bp:go_muscle_cell_migration	548.09	0.00279676656142069	ENSG00000204580	DDR1
GO_bp:go_positive_regulation_of_toll_like_receptor_signaling_pathway	527.4	0.00295198939633823	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_myoblast_fusion	527.4	0.00295198939633823	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_cell_adhesion	60.37	0.00301822776777766	ENSG00000137312;ENSG00000204580	FLOT1;DDR1
