id	or	p	ens.ids	gene.names
GO_cc:go_early_endosome	Inf	0.000236244219961603	ENSG00000137312;ENSG00000234745	FLOT1;HLA-B
GO_bp:go_regulation_of_innate_immune_response	Inf	0.000328251336203361	ENSG00000137312;ENSG00000234745	FLOT1;HLA-B
GO_cc:go_plasma_membrane_protein_complex	Inf	0.000681257902116957	ENSG00000137312;ENSG00000234745	FLOT1;HLA-B
GO_bp:go_regulation_of_cytokine_production	Inf	0.000823280686548776	ENSG00000137312;ENSG00000234745	FLOT1;HLA-B
Canonical_pathway:reactome_endosomal_vacuolar_pathway	2428.82	0.000829251824079891	ENSG00000234745	HLA-B
GO_cc:go_vacuolar_membrane	Inf	0.00089933073005721	ENSG00000137312;ENSG00000234745	FLOT1;HLA-B
GO_cc:go_mhc_class_i_protein_complex	2046.94	0.00103651103424396	ENSG00000234745	HLA-B
GO_bp:go_regulation_of_cell_cell_adhesion_mediated_by_cadherin	1766.94	0.00114013257787027	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_dendritic_cell_differentiation	1756.99	0.00124374874681132	ENSG00000234745	HLA-B
GO_bp:go_negative_regulation_of_natural_killer_cell_mediated_immunity	1756.99	0.00124374874681132	ENSG00000234745	HLA-B
GO_bp:go_regulation_of_t_cell_tolerance_induction	1756.99	0.00124374874681132	ENSG00000234745	HLA-B
GO_bp:go_cellular_response_to_exogenous_dsrna	1756.99	0.00124374874681132	ENSG00000137312	FLOT1
GO_cc:go_cell_trailing_edge	1756.99	0.00124374874681132	ENSG00000137312	FLOT1
GO_cc:go_vacuolar_part	Inf	0.0012627800687296	ENSG00000137312;ENSG00000234745	FLOT1;HLA-B
GO_bp:go_regulation_of_defense_response	Inf	0.00144187657755163	ENSG00000137312;ENSG00000234745	FLOT1;HLA-B
GO_bp:go_antigen_processing_and_presentation_of_endogenous_peptide_antigen	1380.88	0.00145096496057395	ENSG00000234745	HLA-B
GO_cc:go_endosome	Inf	0.00164964637132894	ENSG00000137312;ENSG00000234745	FLOT1;HLA-B
GO_bp:go_positive_regulation_of_t_cell_mediated_cytotoxicity	1233.95	0.00165815967646143	ENSG00000234745	HLA-B
GO_bp:go_protein_kinase_c_signaling	1233.95	0.00165815967646143	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_immune_response	Inf	0.00176094816292019	ENSG00000137312;ENSG00000234745	FLOT1;HLA-B
GO_bp:go_regulation_of_toll_like_receptor_4_signaling_pathway	1139.05	0.00176174897212378	ENSG00000137312	FLOT1
GO_bp:go_detection_of_other_organism	1139.05	0.00176174897212378	ENSG00000234745	HLA-B
GO_bp:go_membrane_raft_organization	1139.05	0.00176174897212378	ENSG00000137312	FLOT1
GO_bp:go_antigen_processing_and_presentation_of_endogenous_antigen	1139.05	0.00176174897212378	ENSG00000234745	HLA-B
GO_bp:go_regulation_of_synaptic_transmission_dopaminergic	1139.05	0.00176174897212378	ENSG00000137312	FLOT1
GO_bp:go_positive_regulation_of_immune_system_process	Inf	0.00181354362057202	ENSG00000137312;ENSG00000234745	FLOT1;HLA-B
GO_bp:go_regulation_of_heterotypic_cell_cell_adhesion	1126.59	0.00186533289379942	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_tolerance_induction	1126.59	0.00186533289379942	ENSG00000234745	HLA-B
GO_bp:go_negative_regulation_of_cell_killing	1126.59	0.00186533289379942	ENSG00000234745	HLA-B
GO_bp:go_positive_regulation_of_toll_like_receptor_signaling_pathway	1022.99	0.00196891144053402	ENSG00000137312	FLOT1
GO_bp:go_regulation_of_myoblast_fusion	1022.99	0.00196891144053402	ENSG00000137312	FLOT1
Canonical_pathway:reactome_antigen_presentation_folding_assembly_and_peptide_loading_of_class_i_mhc	962.82	0.00207248461298037	ENSG00000234745	HLA-B
