id	or	p	ens.ids	gene.names
GO_cc:go_mhc_class_i_protein_complex	Inf	0.00051837644506636	ENSG00000204592	HLA-E
GO_mf:go_beta_2_microglobulin_binding	Inf	0.00051837644506636	ENSG00000204592	HLA-E
GO_bp:go_positive_regulation_of_immunoglobulin_secretion	Inf	0.000570214089273491	ENSG00000204592	HLA-E
GO_bp:go_negative_regulation_of_natural_killer_cell_mediated_immunity	Inf	0.000622051733893292	ENSG00000204592	HLA-E
GO_bp:go_positive_regulation_of_interleukin_13_production	Inf	0.000673889378505765	ENSG00000204592	HLA-E
GO_bp:go_antigen_processing_and_presentation_of_endogenous_peptide_antigen	Inf	0.000725727022694689	ENSG00000204592	HLA-E
GO_bp:go_antigen_processing_and_presentation_via_mhc_class_ib	Inf	0.000777564667109876	ENSG00000204592	HLA-E
GO_bp:go_positive_regulation_of_t_cell_mediated_cytotoxicity	Inf	0.000829402311333771	ENSG00000204592	HLA-E
GO_bp:go_regulation_of_immunoglobulin_secretion	Inf	0.000881239956014634	ENSG00000204592	HLA-E
GO_bp:go_antigen_processing_and_presentation_of_endogenous_antigen	Inf	0.000881239956014634	ENSG00000204592	HLA-E
GO_bp:go_regulation_of_interleukin_13_production	Inf	0.000933077600735799	ENSG00000204592	HLA-E
GO_bp:go_negative_regulation_of_cell_killing	Inf	0.000933077600735799	ENSG00000204592	HLA-E
GO_mf:go_mhc_class_i_protein_binding	Inf	0.000933077600735799	ENSG00000204592	HLA-E
GO_bp:go_positive_regulation_of_alpha_beta_t_cell_proliferation	Inf	0.000984915245078155	ENSG00000204592	HLA-E
GO_bp:go_positive_regulation_of_natural_killer_cell_mediated_immunity	Inf	0.00103675288969252	ENSG00000204592	HLA-E
GO_bp:go_positive_regulation_of_interleukin_4_production	Inf	0.00114042817912863	ENSG00000204592	HLA-E
GO_bp:go_regulation_of_t_cell_mediated_cytotoxicity	Inf	0.00119226582311205	ENSG00000204592	HLA-E
GO_bp:go_regulation_of_alpha_beta_t_cell_proliferation	Inf	0.00119226582311205	ENSG00000204592	HLA-E
GO_cc:go_mhc_protein_complex	Inf	0.00124410346782955	ENSG00000204592	HLA-E
