id	or	p	ens.ids	gene.names
GO_mf:go_beta_2_microglobulin_binding	423.89	0.00310663284644552	ENSG00000204520	MICA
GO_bp:go_negative_regulation_of_natural_killer_cell_mediated_immunity	342.03	0.00372699326464954	ENSG00000204520	MICA
GO_mf:go_ubiquitin_specific_protease_binding	342.03	0.00372699326464954	ENSG00000204463	BAG6
GO_mf:go_misfolded_protein_binding	342.03	0.00372699326464954	ENSG00000204463	BAG6
GO_bp:go_positive_regulation_of_erad_pathway	292.59	0.00434703194416508	ENSG00000204463	BAG6
GO_mf:go_proteasome_binding	255.02	0.00496674901853567	ENSG00000204463	BAG6
GO_bp:go_negative_regulation_of_cell_killing	223.31	0.00558614462126106	ENSG00000204520	MICA
GO_bp:go_synaptonemal_complex_organization	191.49	0.00651463555779919	ENSG00000204463	BAG6
GO_bp:go_cytolysis	173.87	0.00713322806481975	ENSG00000204520	MICA
GO_bp:go_protein_insertion_into_membrane	173.87	0.00713322806481975	ENSG00000204463	BAG6
GO_bp:go_regulation_of_natural_killer_cell_activation	147.09	0.00836945019753654	ENSG00000204520	MICA
GO_bp:go_natural_killer_cell_mediated_immunity	147.09	0.00836945019753654	ENSG00000204520	MICA
GO_bp:go_t_cell_mediated_immunity	147.09	0.00836945019753654	ENSG00000204520	MICA
GO_bp:go_regulation_of_erad_pathway	141.35	0.00867830522743551	ENSG00000204463	BAG6
GO_bp:go_intrinsic_apoptotic_signaling_pathway_in_response_to_dna_damage_by_p53_class_mediator	132.07	0.00929577480034227	ENSG00000204463	BAG6
GO_mf:go_hsp70_protein_binding	132.07	0.00929577480034227	ENSG00000204463	BAG6
GO_mf:go_nucleosomal_dna_binding	132.07	0.00929577480034227	ENSG00000182952	HMGN4
GO_bp:go_intrinsic_apoptotic_signaling_pathway_in_response_to_endoplasmic_reticulum_stress	127.7	0.00960438937651609	ENSG00000204463	BAG6
GO_bp:go_regulation_of_natural_killer_cell_mediated_immunity	119.76	0.0102213781915594	ENSG00000204520	MICA
GO_bp:go_leukocyte_mediated_cytotoxicity	109.42	0.011146260820006	ENSG00000204520	MICA
GO_bp:go_negative_regulation_of_lymphocyte_mediated_immunity	109.42	0.011146260820006	ENSG00000204520	MICA
GO_bp:go_synapsis	106.39	0.0114543949375487	ENSG00000204463	BAG6
GO_bp:go_negative_regulation_of_innate_immune_response	103.53	0.0117624490369055	ENSG00000204520	MICA
GO_bp:go_endoplasmic_reticulum_organization	103.53	0.0117624490369055	ENSG00000204463	BAG6
GO_mf:go_polyubiquitin_binding	100.82	0.0120704231348143	ENSG00000204463	BAG6
GO_mf:go_nucleosome_binding	89.19	0.0136090941819217	ENSG00000182952	HMGN4
