id	or	p	ens.ids	gene.names
GO_bp:go_regulation_of_autophagosome_assembly	24.58	0.000355301716578149	ENSG00000116299;ENSG00000166908;ENSG00000092108	KIAA1324;PIP4K2C;SCFD1
GO_bp:go_regulation_of_vacuole_organization	19.92	0.000629934748550772	ENSG00000116299;ENSG00000166908;ENSG00000092108	KIAA1324;PIP4K2C;SCFD1
GO_bp:go_antigen_processing_and_presentation_of_peptide_antigen	7.46	0.000809209608090351	ENSG00000126214;ENSG00000068878;ENSG00000138674;ENSG00000206503;ENSG00000204257	KLC1;PSME4;SEC31A;HLA-A;HLA-DMA
GO_bp:go_positive_regulation_of_vacuole_organization	53.86	0.000934494968597471	ENSG00000116299;ENSG00000166908	KIAA1324;PIP4K2C
GO_bp:go_positive_regulation_of_response_to_extracellular_stimulus	16.74	0.00101223677076051	ENSG00000116299;ENSG00000166908;ENSG00000100596	KIAA1324;PIP4K2C;SPTLC2
GO_bp:go_response_to_calcium_ion	9.02	0.0013561031950606	ENSG00000144451;ENSG00000138674;ENSG00000145349;ENSG00000096433	SPAG16;SEC31A;CAMK2D;ITPR3
GO_bp:go_peptidyl_lysine_modification	5.09	0.00172879631280753	ENSG00000134686;ENSG00000116539;ENSG00000071655;ENSG00000067066;ENSG00000137343;ENSG00000129691	PHC2;ASH1L;MBD3;SP100;ATAT1;ASH2L
GO_mf:go_nucleotidase_activity	37.32	0.00176469279319479	ENSG00000076685;ENSG00000168268	NT5C2;NT5DC2
GO_bp:go_antigen_processing_and_presentation	6.16	0.00183220306275622	ENSG00000126214;ENSG00000068878;ENSG00000138674;ENSG00000206503;ENSG00000204257	KLC1;PSME4;SEC31A;HLA-A;HLA-DMA
Canonical_pathway:reactome_interferon_gamma_signaling	13.14	0.00195734924429526	ENSG00000067066;ENSG00000145349;ENSG00000206503	SP100;CAMK2D;HLA-A
GO_mf:go_lysine_acetylated_histone_binding	32.35	0.00227328388559686	ENSG00000166164;ENSG00000068878	BRD7;PSME4
GO_cc:go_coated_vesicle_membrane	7.62	0.00244967457186188	ENSG00000142186;ENSG00000138674;ENSG00000206503;ENSG00000119522	SCYL1;SEC31A;HLA-A;DENND1A
GO_bp:go_cytokine_mediated_signaling_pathway	4.11	0.00246288588595559	ENSG00000215788;ENSG00000166888;ENSG00000174600;ENSG00000068878;ENSG00000067066;ENSG00000145349;ENSG00000206503	TNFRSF25;STAT6;CMKLR1;PSME4;SP100;CAMK2D;HLA-A
