id	or	p	ens.ids	gene.names
GO_cc:go_nuclear_outer_membrane_endoplasmic_reticulum_membrane_network	4.32	0.000319975344971408	ENSG00000118308;ENSG00000092108;ENSG00000100596;ENSG00000185813;ENSG00000125744;ENSG00000213533;ENSG00000206503;ENSG00000096433;ENSG00000132432;ENSG00000147649	LRMP;SCFD1;SPTLC2;PCYT2;RTN2;TMEM110;HLA-A;ITPR3;SEC61G;MTDH
GO_mf:go_beta_2_microglobulin_binding	93.94	0.00032860876820742	ENSG00000206503;ENSG00000204520	HLA-A;MICA
GO_bp:go_negative_regulation_of_natural_killer_cell_mediated_immunity	75.15	0.000480264588279722	ENSG00000206503;ENSG00000204520	HLA-A;MICA
GO_bp:go_regulation_of_autophagy	8.14	0.000585180810917347	ENSG00000092108;ENSG00000100596;ENSG00000118046;ENSG00000019991;ENSG00000147649	SCFD1;SPTLC2;STK11;HGF;MTDH
GO_cc:go_endoplasmic_reticulum_subcompartment	53.68	0.000867080766699333	ENSG00000125744;ENSG00000213533	RTN2;TMEM110
GO_cc:go_endoplasmic_reticulum_part	3.7	0.0010015155191944	ENSG00000118308;ENSG00000092108;ENSG00000100596;ENSG00000185813;ENSG00000125744;ENSG00000213533;ENSG00000206503;ENSG00000096433;ENSG00000132432;ENSG00000147649	LRMP;SCFD1;SPTLC2;PCYT2;RTN2;TMEM110;HLA-A;ITPR3;SEC61G;MTDH
GO_bp:go_negative_regulation_of_cell_killing	46.99	0.00110164437049665	ENSG00000206503;ENSG00000204520	HLA-A;MICA
GO_bp:go_positive_regulation_of_autophagy	16.19	0.00110603854622301	ENSG00000100596;ENSG00000118046;ENSG00000147649	SPTLC2;STK11;MTDH
GO_mf:go_phosphoric_ester_hydrolase_activity	5.48	0.00317853864339898	ENSG00000076685;ENSG00000149782;ENSG00000084112;ENSG00000103381;ENSG00000184489	NT5C2;PLCB3;SSH1;CPPED1;PTP4A3
GO_bp:go_bicellular_tight_junction_assembly	25.96	0.00327252243696458	ENSG00000158769;ENSG00000147649	F11R;MTDH
GO_bp:go_regulation_of_catabolic_process	3.92	0.0035516447897151	ENSG00000078618;ENSG00000092108;ENSG00000100596;ENSG00000118046;ENSG00000007944;ENSG00000019991;ENSG00000147649	NRDC;SCFD1;SPTLC2;STK11;MYLIP;HGF;MTDH
GO_bp:go_regulation_of_natural_killer_cell_mediated_immunity	24.28	0.00370287904074036	ENSG00000206503;ENSG00000204520	HLA-A;MICA
Canonical_pathway:reactome_integration_of_energy_metabolism	10.15	0.00398791274148952	ENSG00000149782;ENSG00000118046;ENSG00000096433	PLCB3;STK11;ITPR3
Canonical_pathway:st_g_alpha_i_pathway	22.81	0.00415813954768823	ENSG00000149782;ENSG00000096433	PLCB3;ITPR3
GO_bp:go_cell_activation	4.3	0.00424265085037225	ENSG00000111321;ENSG00000118046;ENSG00000026950;ENSG00000204520;ENSG00000204472;ENSG00000096433	LTBR;STK11;BTN3A1;MICA;AIF1;ITPR3
GO_bp:go_positive_regulation_of_catabolic_process	5.07	0.00435480603253097	ENSG00000078618;ENSG00000100596;ENSG00000118046;ENSG00000007944;ENSG00000147649	NRDC;SPTLC2;STK11;MYLIP;MTDH
GO_bp:go_negative_regulation_of_lymphocyte_mediated_immunity	22.13	0.00439502250361414	ENSG00000206503;ENSG00000204520	HLA-A;MICA
GO_bp:go_negative_regulation_of_innate_immune_response	20.89	0.00488712249026525	ENSG00000206503;ENSG00000204520	HLA-A;MICA
GO_bp:go_regulation_of_neuron_projection_development	4.9	0.00499519920247475	ENSG00000084112;ENSG00000118046;ENSG00000169554;ENSG00000019991;ENSG00000153317	SSH1;STK11;ZEB2;HGF;ASAP1
GO_bp:go_apical_junction_assembly	20.33	0.0051422713955271	ENSG00000158769;ENSG00000147649	F11R;MTDH
GO_bp:go_leukocyte_activation	4.82	0.00536652054868702	ENSG00000111321;ENSG00000118046;ENSG00000026950;ENSG00000204520;ENSG00000204472	LTBR;STK11;BTN3A1;MICA;AIF1
Canonical_pathway:reactome_plc_beta_mediated_events	19.3	0.00567059772715307	ENSG00000149782;ENSG00000096433	PLCB3;ITPR3
GO_mf:go_protein_tyrosine_serine_threonine_phosphatase_activity	18.81	0.00594370783482842	ENSG00000084112;ENSG00000184489	SSH1;PTP4A3
GO_bp:go_negative_regulation_of_defense_response	8.18	0.00712816143583547	ENSG00000206503;ENSG00000204520;ENSG00000019991	HLA-A;MICA;HGF
GO_bp:go_dephosphorylation	5.59	0.00737328643463609	ENSG00000076685;ENSG00000084112;ENSG00000103381;ENSG00000184489	NT5C2;SSH1;CPPED1;PTP4A3
GO_bp:go_negative_regulation_of_leukocyte_mediated_immunity	16.71	0.0073973933999348	ENSG00000206503;ENSG00000204520	HLA-A;MICA
GO_bp:go_regulation_of_leukocyte_mediated_cytotoxicity	15.35	0.00866412604732349	ENSG00000206503;ENSG00000204520	HLA-A;MICA
GO_bp:go_protein_transmembrane_transport	15.35	0.00866412604732349	ENSG00000125744;ENSG00000132432	RTN2;SEC61G
Canonical_pathway:kegg_alzheimers_disease	7.43	0.00920070328990107	ENSG00000132906;ENSG00000149782;ENSG00000096433	CASP9;PLCB3;ITPR3
GO_bp:go_negative_regulation_of_autophagy	14.74	0.00933137052136088	ENSG00000092108;ENSG00000019991	SCFD1;HGF
GO_cc:go_organelle_subcompartment	5.1	0.00998936241420371	ENSG00000092108;ENSG00000125744;ENSG00000213533;ENSG00000206503	SCFD1;RTN2;TMEM110;HLA-A
Canonical_pathway:pid_fgf_pathway	14.19	0.0100208574826458	ENSG00000084112;ENSG00000019991	SSH1;HGF
Canonical_pathway:reactome_er_phagosome_pathway	13.67	0.0107323322835497	ENSG00000206503;ENSG00000132432	HLA-A;SEC61G
GO_bp:go_cellular_component_morphogenesis	3.14	0.0108401283551793	ENSG00000132906;ENSG00000084112;ENSG00000092108;ENSG00000118046;ENSG00000169554;ENSG00000019991;ENSG00000153317	CASP9;SSH1;SCFD1;STK11;ZEB2;HGF;ASAP1
GO_bp:go_regulation_of_axonogenesis	6.98	0.0108754901623936	ENSG00000084112;ENSG00000118046;ENSG00000169554	SSH1;STK11;ZEB2
GO_bp:go_regulation_of_cellular_response_to_stress	3.48	0.0110604980841866	ENSG00000132906;ENSG00000111321;ENSG00000092108;ENSG00000100596;ENSG00000169554;ENSG00000019991	CASP9;LTBR;SCFD1;SPTLC2;ZEB2;HGF
GO_bp:go_response_to_bacterium	4	0.0111921540657564	ENSG00000132906;ENSG00000111321;ENSG00000206503;ENSG00000204520;ENSG00000147649	CASP9;LTBR;HLA-A;MICA;MTDH
GO_cc:go_endoplasmic_reticulum	2.57	0.0112498125591189	ENSG00000118308;ENSG00000092108;ENSG00000100596;ENSG00000185813;ENSG00000125744;ENSG00000213533;ENSG00000206503;ENSG00000096433;ENSG00000132432;ENSG00000147649	LRMP;SCFD1;SPTLC2;PCYT2;RTN2;TMEM110;HLA-A;ITPR3;SEC61G;MTDH
GO_bp:go_regulation_of_cell_killing	12.74	0.0122202369637834	ENSG00000206503;ENSG00000204520	HLA-A;MICA
GO_mf:go_hydrolase_activity_acting_on_ester_bonds	3.29	0.0140453515193925	ENSG00000076685;ENSG00000149782;ENSG00000084112;ENSG00000103381;ENSG00000137411;ENSG00000184489	NT5C2;PLCB3;SSH1;CPPED1;VARS2;PTP4A3
GO_bp:go_cellular_response_to_uv	11.74	0.0141993423696276	ENSG00000132906;ENSG00000118046	CASP9;STK11
