id	or	p	ens.ids	gene.names
GO_mf:go_opsonin_binding	Inf	0.000570214089273491	ENSG00000244731	C4A
Canonical_pathway:biocarta_lectin_pathway	Inf	0.000622051733893292	ENSG00000244731	C4A
Canonical_pathway:reactome_regulation_of_complement_cascade	Inf	0.000673889378505765	ENSG00000244731	C4A
Canonical_pathway:reactome_initial_triggering_of_complement	Inf	0.000673889378505765	ENSG00000244731	C4A
Canonical_pathway:biocarta_classic_pathway	Inf	0.000725727022694689	ENSG00000244731	C4A
Canonical_pathway:biocarta_comp_pathway	Inf	0.000984915245078155	ENSG00000244731	C4A
GO_mf:go_complement_binding	Inf	0.000984915245078155	ENSG00000244731	C4A
Canonical_pathway:reactome_complement_cascade	Inf	0.00150329168988117	ENSG00000244731	C4A
GO_bp:go_regulation_of_protein_activation_cascade	Inf	0.0018143175576617	ENSG00000244731	C4A
GO_bp:go_humoral_immune_response_mediated_by_circulating_immunoglobulin	Inf	0.00191799284584593	ENSG00000244731	C4A
GO_bp:go_complement_activation	Inf	0.00238453164630847	ENSG00000244731	C4A
GO_bp:go_positive_regulation_of_phagocytosis	Inf	0.00238453164630847	ENSG00000244731	C4A
GO_bp:go_regulation_of_humoral_immune_response	Inf	0.00269555751377526	ENSG00000244731	C4A
GO_bp:go_b_cell_mediated_immunity	Inf	0.00347312218157658	ENSG00000244731	C4A
GO_bp:go_protein_activation_cascade	Inf	0.00352495982609535	ENSG00000244731	C4A
GO_bp:go_regulation_of_phagocytosis	Inf	0.00352495982609535	ENSG00000244731	C4A
Canonical_pathway:kegg_complement_and_coagulation_cascades	Inf	0.00357679747057138	ENSG00000244731	C4A
GO_bp:go_regulation_of_acute_inflammatory_response	Inf	0.00378414804812599	ENSG00000244731	C4A
GO_bp:go_regulation_of_protein_maturation	Inf	0.00425068684881647	ENSG00000244731	C4A
Canonical_pathway:kegg_systemic_lupus_erythematosus	Inf	0.00492457622715625	ENSG00000244731	C4A
GO_bp:go_positive_regulation_of_endocytosis	Inf	0.00590949147258124	ENSG00000244731	C4A
GO_bp:go_lymphocyte_mediated_immunity	Inf	0.00596132911693936	ENSG00000244731	C4A
GO_cc:go_blood_microparticle	Inf	0.00596132911693936	ENSG00000244731	C4A
GO_bp:go_adaptive_immune_response_based_on_somatic_recombination_of_immune_receptors_built_from_immunoglobulin_superfamily_domains	Inf	0.00627235498371903	ENSG00000244731	C4A
GO_bp:go_humoral_immune_response	Inf	0.00782748431890212	ENSG00000244731	C4A
GO_bp:go_leukocyte_mediated_immunity	Inf	0.00808667254181794	ENSG00000244731	C4A
GO_mf:go_peptidase_inhibitor_activity	Inf	0.00891607485317569	ENSG00000244731	C4A
GO_bp:go_regulation_of_endocytosis	Inf	0.0103156912552769	ENSG00000244731	C4A
GO_mf:go_peptidase_regulator_activity	Inf	0.0108340676998913	ENSG00000244731	C4A
GO_mf:go_serine_hydrolase_activity	Inf	0.0109377429883269	ENSG00000244731	C4A
GO_bp:go_negative_regulation_of_peptidase_activity	Inf	0.0123891970342819	ENSG00000244731	C4A
GO_bp:go_adaptive_immune_response	Inf	0.0129594111240336	ENSG00000244731	C4A
Canonical_pathway:reactome_innate_immune_system	Inf	0.0136851381467274	ENSG00000244731	C4A
GO_bp:go_regulation_of_inflammatory_response	Inf	0.014618215748246	ENSG00000244731	C4A
GO_bp:go_negative_regulation_of_proteolysis	Inf	0.01669172152822	ENSG00000244731	C4A
GO_mf:go_enzyme_inhibitor_activity	Inf	0.0191280908193684	ENSG00000244731	C4A
