id	or	p	ens.ids	gene.names
GO_bp:go_chromatin_silencing	102.99	0.000299505674998483	ENSG00000197837;ENSG00000246705	HIST4H4;H2AFJ
GO_cc:go_dna_packaging_complex	95.21	0.000348170375117362	ENSG00000197837;ENSG00000246705	HIST4H4;H2AFJ
GO_bp:go_negative_regulation_of_gene_expression_epigenetic	80.68	0.000479652786304805	ENSG00000197837;ENSG00000246705	HIST4H4;H2AFJ
Canonical_pathway:kegg_systemic_lupus_erythematosus	68.61	0.00065908444482536	ENSG00000197837;ENSG00000246705	HIST4H4;H2AFJ
GO_bp:go_protein_tetramerization	57.43	0.000930599257926791	ENSG00000197837;ENSG00000112304	HIST4H4;ACOT13
GO_cc:go_protein_dna_complex	47.53	0.0013435816776428	ENSG00000197837;ENSG00000246705	HIST4H4;H2AFJ
GO_bp:go_gene_silencing	35.73	0.00233639358004259	ENSG00000197837;ENSG00000246705	HIST4H4;H2AFJ
GO_bp:go_regulation_of_gene_expression_epigenetic	32.43	0.00281790784612477	ENSG00000197837;ENSG00000246705	HIST4H4;H2AFJ
GO_bp:go_negative_regulation_of_megakaryocyte_differentiation	389.53	0.00331339821222343	ENSG00000197837	HIST4H4
Canonical_pathway:biocarta_skp2e2f_pathway	301.88	0.00414024522711987	ENSG00000105173	CCNE1
GO_bp:go_response_to_methylmercury	248.68	0.00496649197453902	ENSG00000105173	CCNE1
GO_mf:go_toxic_substance_binding	248.68	0.00496649197453902	ENSG00000070019	GUCY2C
Canonical_pathway:biocarta_p27_pathway	227.27	0.00537939036469715	ENSG00000105173	CCNE1
Canonical_pathway:sa_reg_cascade_of_cyclin_expr	227.27	0.00537939036469715	ENSG00000105173	CCNE1
GO_bp:go_regulation_of_protein_polyubiquitination	227.27	0.00537939036469715	ENSG00000111961	SASH1
GO_bp:go_negative_regulation_of_hematopoietic_progenitor_cell_differentiation	208.99	0.00579213882817153	ENSG00000197837	HIST4H4
GO_bp:go_positive_regulation_of_p38mapk_cascade	208.99	0.00579213882817153	ENSG00000111961	SASH1
GO_bp:go_dna_replication_dependent_nucleosome_organization	208.99	0.00579213882817153	ENSG00000197837	HIST4H4
GO_bp:go_cgmp_biosynthetic_process	194.06	0.00620473741134331	ENSG00000070019	GUCY2C
GO_bp:go_response_to_vitamin_e	194.06	0.00620473741134331	ENSG00000105173	CCNE1
Canonical_pathway:biocarta_p53_pathway	182.53	0.00661718616111329	ENSG00000105173	CCNE1
Canonical_pathway:reactome_g1_s_specific_transcription	170.84	0.00702948512410595	ENSG00000105173	CCNE1
GO_bp:go_regulation_of_megakaryocyte_differentiation	170.84	0.00702948512410595	ENSG00000197837	HIST4H4
Canonical_pathway:biocarta_mcm_pathway	161.16	0.00744163434679812	ENSG00000105173	CCNE1
GO_bp:go_mrna_cis_splicing_via_spliceosome	161.16	0.00744163434679812	ENSG00000084463	WBP11
GO_mf:go_mitogen_activated_protein_kinase_kinase_kinase_binding	161.16	0.00744163434679812	ENSG00000111961	SASH1
GO_bp:go_telomere_capping	151.73	0.00785363387592275	ENSG00000197837	HIST4H4
GO_bp:go_regulation_of_lipopolysaccharide_mediated_signaling_pathway	151.73	0.00785363387592275	ENSG00000111961	SASH1
GO_bp:go_chromatin_silencing_at_rdna	151.73	0.00785363387592275	ENSG00000197837	HIST4H4
GO_bp:go_protein_heterotetramerization	143.92	0.00826548375806635	ENSG00000197837	HIST4H4
GO_mf:go_coa_hydrolase_activity	143.92	0.00826548375806635	ENSG00000112304	ACOT13
GO_mf:go_cyclase_activity	130.47	0.00908873476782712	ENSG00000070019	GUCY2C
Canonical_pathway:biocarta_cellcycle_pathway	124.41	0.00950013598855814	ENSG00000105173	CCNE1
Canonical_pathway:pid_prl_signaling_events_pathway	124.41	0.00950013598855814	ENSG00000105173	CCNE1
Canonical_pathway:reactome_g0_and_early_g1	124.41	0.00950013598855814	ENSG00000105173	CCNE1
GO_bp:go_cgmp_metabolic_process	124.41	0.00950013598855814	ENSG00000070019	GUCY2C
Canonical_pathway:reactome_cell_cycle	16.84	0.00981577961224767	ENSG00000197837;ENSG00000105173	HIST4H4;CCNE1
Canonical_pathway:biocarta_raccycd_pathway	114.1	0.0103224900944091	ENSG00000105173	CCNE1
GO_bp:go_response_to_corticosterone	114.1	0.0103224900944091	ENSG00000105173	CCNE1
Canonical_pathway:reactome_packaging_of_telomere_ends	109.57	0.010733443072701	ENSG00000197837	HIST4H4
GO_bp:go_regulation_of_p38mapk_cascade	109.57	0.010733443072701	ENSG00000111961	SASH1
GO_bp:go_regulation_of_transcription_involved_in_g1_s_transition_of_mitotic_cell_cycle	109.57	0.010733443072701	ENSG00000105173	CCNE1
GO_mf:go_cyclin_dependent_protein_serine_threonine_kinase_regulator_activity	109.57	0.010733443072701	ENSG00000105173	CCNE1
GO_cc:go_chromatin	15.85	0.0110022153400137	ENSG00000197837;ENSG00000246705	HIST4H4;H2AFJ
GO_bp:go_protein_oligomerization	15.45	0.0115372542261517	ENSG00000197837;ENSG00000112304	HIST4H4;ACOT13
Canonical_pathway:biocarta_g1_pathway	101.35	0.0115549011125279	ENSG00000105173	CCNE1
Canonical_pathway:pid_bard1_pathway	97.76	0.0119654062670294	ENSG00000105173	CCNE1
Canonical_pathway:reactome_rna_pol_i_promoter_opening	97.76	0.0119654062670294	ENSG00000197837	HIST4H4
GO_bp:go_positive_regulation_of_nik_nf_kappab_signaling	97.76	0.0119654062670294	ENSG00000111961	SASH1
GO_bp:go_dna_replication_initiation	97.76	0.0119654062670294	ENSG00000105173	CCNE1
GO_cc:go_cyclin_dependent_protein_kinase_holoenzyme_complex	97.76	0.0119654062670294	ENSG00000105173	CCNE1
GO_mf:go_protein_heterodimerization_activity	14.96	0.0122500156385353	ENSG00000197837;ENSG00000246705	HIST4H4;H2AFJ
GO_bp:go_regulation_of_hematopoietic_progenitor_cell_differentiation	94.41	0.0123757622398796	ENSG00000197837	HIST4H4
GO_mf:go_ww_domain_binding	91.09	0.012785969077665	ENSG00000084463	WBP11
GO_mf:go_thiolester_hydrolase_activity	88.5	0.0131960268266922	ENSG00000112304	ACOT13
GO_bp:go_beta_catenin_tcf_complex_assembly	85.67	0.0136059355335245	ENSG00000197837	HIST4H4
Canonical_pathway:reactome_e2f_mediated_regulation_of_dna_replication	83.05	0.0140156952445776	ENSG00000105173	CCNE1
GO_bp:go_cyclic_nucleotide_biosynthetic_process	83.05	0.0140156952445776	ENSG00000070019	GUCY2C
GO_bp:go_response_to_mineralocorticoid	83.05	0.0140156952445776	ENSG00000105173	CCNE1
GO_bp:go_cellular_response_to_nutrient	76.02	0.0152440808673047	ENSG00000105173	CCNE1
GO_bp:go_centromere_complex_assembly	74.06	0.0156532450592936	ENSG00000197837	HIST4H4
GO_mf:go_androgen_receptor_binding	74.06	0.0156532450592936	ENSG00000105173	CCNE1
GO_cc:go_nuclear_chromosome	13	0.0159117978110551	ENSG00000197837;ENSG00000246705	HIST4H4;H2AFJ
Canonical_pathway:pid_foxm1_pathway	70.21	0.0164711271982431	ENSG00000105173	CCNE1
Canonical_pathway:reactome_deposition_of_new_cenpa_containing_nucleosomes_at_the_centromere	70.21	0.0164711271982431	ENSG00000197837	HIST4H4
GO_bp:go_positive_regulation_of_response_to_biotic_stimulus	70.21	0.0164711271982431	ENSG00000111961	SASH1
GO_bp:go_androgen_receptor_signaling_pathway	70.21	0.0164711271982431	ENSG00000105173	CCNE1
GO_bp:go_regulation_of_nik_nf_kappab_signaling	66.85	0.0172884146530248	ENSG00000111961	SASH1
GO_bp:go_regulation_of_mitophagy	66.85	0.0172884146530248	ENSG00000084463	WBP11
GO_bp:go_histone_exchange	65.26	0.0176968354894641	ENSG00000197837	HIST4H4
GO_bp:go_dna_replication_independent_nucleosome_organization	65.26	0.0176968354894641	ENSG00000197837	HIST4H4
Canonical_pathway:reactome_meiotic_synapsis	57.12	0.0201442429549485	ENSG00000197837	HIST4H4
Canonical_pathway:reactome_amyloids	57.12	0.0201442429549485	ENSG00000197837	HIST4H4
GO_bp:go_fatty_acyl_coa_metabolic_process	57.12	0.0201442429549485	ENSG00000112304	ACOT13
GO_bp:go_response_to_progesterone	57.12	0.0201442429549485	ENSG00000105173	CCNE1
Canonical_pathway:reactome_p53_dependent_g1_dna_damage_response	53.69	0.0213659446277895	ENSG00000105173	CCNE1
Canonical_pathway:reactome_meiotic_recombination	53.69	0.0213659446277895	ENSG00000197837	HIST4H4
Canonical_pathway:reactome_scfskp2_mediated_degradation_of_p27_p21	53.69	0.0213659446277895	ENSG00000105173	CCNE1
GO_bp:go_thioester_biosynthetic_process	53.69	0.0213659446277895	ENSG00000112304	ACOT13
Canonical_pathway:reactome_rna_pol_i_transcription	52.66	0.021772882225603	ENSG00000197837	HIST4H4
Canonical_pathway:reactome_telomere_maintenance	52.66	0.021772882225603	ENSG00000197837	HIST4H4
