id	or	p	ens.ids	gene.names
Canonical_pathway:pid_integrin4_pathway	380.13	0.00341685328128793	ENSG00000130702	LAMA5
Canonical_pathway:reactome_unwinding_of_dna	380.13	0.00341685328128793	ENSG00000112118	MCM3
GO_cc:go_mcm_complex	380.13	0.00341685328128793	ENSG00000112118	MCM3
GO_bp:go_regulation_of_interleukin_8_biosynthetic_process	342.03	0.00372699326464954	ENSG00000112116	IL17F
GO_bp:go_regulation_of_granulocyte_macrophage_colony_stimulating_factor_production	270.51	0.00465693067374795	ENSG00000112116	IL17F
GO_bp:go_positive_regulation_of_interleukin_6_secretion	255.02	0.00496674901853567	ENSG00000112116	IL17F
GO_bp:go_regulation_of_interleukin_6_biosynthetic_process	255.02	0.00496674901853567	ENSG00000112116	IL17F
GO_bp:go_branching_involved_in_salivary_gland_morphogenesis	255.02	0.00496674901853567	ENSG00000130702	LAMA5
GO_bp:go_cytokine_metabolic_process	238.55	0.00527648699550098	ENSG00000112116	IL17F
Canonical_pathway:biocarta_mcm_pathway	223.31	0.00558614462126106	ENSG00000112118	MCM3
GO_bp:go_regulation_of_cytokine_production_involved_in_inflammatory_response	223.31	0.00558614462126106	ENSG00000112116	IL17F
GO_bp:go_regulation_of_interleukin_2_biosynthetic_process	223.31	0.00558614462126106	ENSG00000112116	IL17F
GO_cc:go_basal_lamina	191.49	0.00651463555779919	ENSG00000130702	LAMA5
GO_bp:go_cell_substrate_adherens_junction_assembly	165.58	0.0074424039332236	ENSG00000130702	LAMA5
GO_bp:go_morphogenesis_of_a_polarized_epithelium	141.35	0.00867830522743551	ENSG00000130702	LAMA5
GO_cc:go_centrosome	19.62	0.00870725717291184	ENSG00000112118;ENSG00000096093	MCM3;EFHC1
GO_bp:go_dna_replication_initiation	137.07	0.00898708008962723	ENSG00000112118	MCM3
GO_cc:go_replisome	137.07	0.00898708008962723	ENSG00000112118	MCM3
Canonical_pathway:reactome_activation_of_the_pre_replicative_complex	132.07	0.00929577480034227	ENSG00000112118	MCM3
Canonical_pathway:reactome_dna_strand_elongation	132.07	0.00929577480034227	ENSG00000112118	MCM3
GO_bp:go_salivary_gland_development	123.6	0.00991292383472941	ENSG00000130702	LAMA5
GO_bp:go_adherens_junction_assembly	116.15	0.0105297524635795	ENSG00000130702	LAMA5
Canonical_pathway:reactome_activation_of_atr_in_response_to_replication_stress	112.75	0.0108380466673622	ENSG00000112118	MCM3
Canonical_pathway:kegg_dna_replication	109.42	0.011146260820006	ENSG00000112118	MCM3
GO_bp:go_substrate_adhesion_dependent_cell_spreading	109.42	0.011146260820006	ENSG00000130702	LAMA5
Canonical_pathway:pid_il23_pathway	106.39	0.0114543949375487	ENSG00000112116	IL17F
GO_cc:go_nuclear_replication_fork	100.82	0.0120704231348143	ENSG00000112118	MCM3
Canonical_pathway:naba_basement_membranes	98.09	0.0123783172476585	ENSG00000130702	LAMA5
Canonical_pathway:reactome_g2_m_checkpoints	96.06	0.0126861313921683	ENSG00000112118	MCM3
GO_bp:go_cell_substrate_junction_assembly	96.06	0.0126861313921683	ENSG00000130702	LAMA5
GO_bp:go_cerebral_cortex_cell_migration	96.06	0.0126861313921683	ENSG00000096093	EFHC1
GO_bp:go_branching_involved_in_ureteric_bud_morphogenesis	91.34	0.0133015198427513	ENSG00000130702	LAMA5
GO_bp:go_exocrine_system_development	89.19	0.0136090941819217	ENSG00000130702	LAMA5
